site_slug,site_name_zh,site_name_en,site_abbr,site_category,site_difficulty,site_uses,concept_slug,concept_zh,concept_en,concept_family,match_type,match_confidence,winner_zh,winner_en,runner_up_zh,runner_up_en,expert_count,material_count,evidence_summary_zh,evidence_summary_en,source_files,validation_flags
cci,商品通道指數,Commodity Channel Index,CCI,動能,中階,找轉折; 追蹤強弱,cci,CCI 商品通道指標,Commodity Channel Index,momentum,exact,high,唐納德・蘭伯特,Donald R. Lambert,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,唐納德・蘭伯特是目前資料庫中唯一對應「CCI 商品通道指標」的核心專家。,Donald R. Lambert is the only expert currently mapped to Commodity Channel Index in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
chaikin-money-flow,蔡金資金流量,Chaikin Money Flow,CMF,成交量,中階,確認量能; 追蹤強弱,chaikin-money-flow,Chaikin 資金流,Chaikin Money Flow,volume,exact,high,馬克・柴金,Marc Chaikin,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,馬克・柴金是目前資料庫中唯一對應「Chaikin 資金流」的核心專家。,Marc Chaikin is the only expert currently mapped to Chaikin Money Flow in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
chaikin-oscillator,蔡金震盪器,Chaikin Oscillator,Chaikin Osc,成交量,進階,確認量能; 找轉折,volume-analysis,成交量分析,Volume Analysis,volume,split,medium,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
chande-momentum-oscillator,錢德動量震盪器,Chande Momentum Oscillator,CMO,動能,中階,追蹤強弱; 找轉折,cmo,Chande 動量震盪器,Chande Momentum Oscillator,momentum,alias,high,圖沙・昌德,Tushar S. Chande,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,圖沙・昌德是目前資料庫中唯一對應「Chande 動量震盪器」的核心專家。,Tushar S. Chande is the only expert currently mapped to Chande Momentum Oscillator in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
chandelier-exit,吊燈止蝕,Chandelier Exit,CE,波動率,中階,管理風險; 看趨勢,atr,ATR 平均真實波幅,Average True Range,volatility,split,high,威爾斯・威爾德,J. Welles Wilder Jr.,奧利維耶・塞班,Olivier Seban,2,0,威爾斯・威爾德優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為奧利維耶・塞班。,"J. Welles Wilder Jr. wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Olivier Seban.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review
coppock-curve,科波克曲線,Coppock Curve,Coppock,動能,進階,找轉折; 看趨勢,coppock-curve,Coppock 曲線,Coppock Curve,momentum,exact,high,艾德溫・科波克,Edwin S. Coppock,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,艾德溫・科波克是目前資料庫中唯一對應「Coppock 曲線」的核心專家。,Edwin S. Coppock is the only expert currently mapped to Coppock Curve in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
correlation,相關係數,Correlation,Corr,綜合,中階,管理風險; 篩選股票,risk,風險 / 回撤,Risk / Drawdown,risk,merge,medium,彼得・馬丁、拜倫・麥肯,Peter G. Martin / Byron McCann,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,2,0,彼得・馬丁、拜倫・麥肯並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Peter G. Martin / Byron McCann are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
demarker,DeMarker 指標,DeMarker,DeM,動能,進階,找轉折; 追蹤強弱,demark-indicators,DeMark 指標,DeMARK Indicators,market_timing,alias,high,湯姆・迪馬克,Tom DeMark,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,湯姆・迪馬克是目前資料庫中唯一對應「DeMark 指標」的核心專家。,Tom DeMark is the only expert currently mapped to DeMARK Indicators in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
dmi,趨向指標,Directional Movement Index,DMI,趨勢,中階,看趨勢; 追蹤強弱,adx-dmi,ADX / DMI,Average Directional Index / Directional Movement,trend,alias,high,威爾斯・威爾德,J. Welles Wilder Jr.,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,威爾斯・威爾德是目前資料庫中唯一對應「ADX / DMI」的核心專家。,J. Welles Wilder Jr. is the only expert currently mapped to Average Directional Index / Directional Movement in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
donchian-channel,唐奇安通道,Donchian Channel,DC,通道/型態,中階,看趨勢; 支撐阻力,donchian-channel,唐奇安通道,Donchian Channel,trend,exact,high,理查・唐奇安,Richard Donchian,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,理查・唐奇安是目前資料庫中唯一對應「唐奇安通道」的核心專家。,Richard Donchian is the only expert currently mapped to Donchian Channel in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
dpo,去趨勢價格震盪器,Detrended Price Oscillator,DPO,動能,中階,判斷盤整; 找轉折,cycle-analysis,週期分析,Cycle Analysis,cycle,split,medium,約翰・艾勒斯,John F. Ehlers,威廉・江恩、拉爾夫・尼爾森・艾略特,W. D. Gann / Ralph Nelson Elliott,6,0,約翰・艾勒斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・江恩、拉爾夫・尼爾森・艾略特。,"John F. Ehlers wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: W. D. Gann / Ralph Nelson Elliott.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
ease-of-movement,簡易波動指標,Ease of Movement,EOM,成交量,進階,確認量能; 追蹤強弱,volume-analysis,成交量分析,Volume Analysis,volume,merge,medium,理查・威科夫,Richard D. Wyckoff,約瑟夫・格蘭維爾、巴夫・多米爾,Joseph Granville / Buff Dormeier,13,0,理查・威科夫優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約瑟夫・格蘭維爾、巴夫・多米爾。,"Richard D. Wyckoff wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Joseph Granville / Buff Dormeier.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
elder-ray,艾達透視指標,Elder Ray,Elder Ray,動能,進階,追蹤強弱; 找轉折,elder-ray,Elder-Ray,Elder-Ray Index,momentum,exact,high,亞歷山大・艾爾德,Alexander Elder,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,亞歷山大・艾爾德是目前資料庫中唯一對應「Elder-Ray」的核心專家。,Alexander Elder is the only expert currently mapped to Elder-Ray Index in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
ema,指數移動平均線,Exponential Moving Average,EMA,趨勢,入門,看趨勢; 找轉折,moving-average,移動平均,Moving Average,trend,merge,high,傑拉德・阿佩爾,Gerald Appel,約翰・墨菲、羅伯特・科爾比,John J. Murphy / Robert W. Colby,8,0,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約翰・墨菲、羅伯特・科爾比。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: John J. Murphy / Robert W. Colby.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review
fibonacci-retracement,斐波那契回調,Fibonacci Retracement,Fib,支撐阻力,中階,支撐阻力; 找轉折,fibonacci,費波納契時間/價格,Fibonacci Time and Price,support_resistance,alias,high,喬・迪納波利,Joe DiNapoli,卡洛琳・波羅登、羅伯特・邁納,Carolyn Boroden / Robert C. Miner,3,0,喬・迪納波利優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為卡洛琳・波羅登、羅伯特・邁納。,"Joe DiNapoli wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Carolyn Boroden / Robert C. Miner.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
fisher-transform,費雪轉換,Fisher Transform,Fisher,動能,進階,找轉折; 判斷盤整,ehlers-filters,Ehlers 濾波器,Ehlers Filters,cycle,split,medium,約翰・艾勒斯,John F. Ehlers,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,約翰・艾勒斯是目前資料庫中唯一對應「Ehlers 濾波器」的核心專家。,John F. Ehlers is the only expert currently mapped to Ehlers Filters in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
force-index,強力指數,Force Index,FI,成交量,中階,確認量能; 找轉折,force-index,Force Index,Force Index,volume,exact,high,亞歷山大・艾爾德,Alexander Elder,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,亞歷山大・艾爾德是目前資料庫中唯一對應「Force Index」的核心專家。,Alexander Elder is the only expert currently mapped to Force Index in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
heikin-ashi,平均 K 線,Heikin Ashi,HA,通道/型態,中階,看趨勢; 判斷盤整,candlestick,K 線 / 蠟燭圖,Candlestick Charting,charting,alias,high,史蒂夫・尼森,Steve Nison,湯瑪斯・布考斯基、本間宗久,Thomas N. Bulkowski / Munehisa Homma,3,0,史蒂夫・尼森優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為湯瑪斯・布考斯基、本間宗久。,"Steve Nison wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Thomas N. Bulkowski / Munehisa Homma.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
historical-volatility,歷史波動率,Historical Volatility,HV,波動率,中階,觀察波動; 管理風險,volatility,波動率,Volatility,volatility,alias,high,約翰・布林格,John Bollinger,安德魯・思拉舍、亞歷克斯・斯皮羅格魯,Andrew Thrasher / Alex Spiroglou,4,0,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・思拉舍、亞歷克斯・斯皮羅格魯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew Thrasher / Alex Spiroglou.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
hma,赫爾移動平均線,Hull Moving Average,HMA,趨勢,進階,看趨勢; 找轉折,hull-ma,Hull 移動平均,Hull Moving Average,trend,alias,high,艾倫・霍爾,Alan Hull,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,艾倫・霍爾是目前資料庫中唯一對應「Hull 移動平均」的核心專家。,Alan Hull is the only expert currently mapped to Hull Moving Average in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
ichimoku,一目均衡表,Ichimoku Cloud,Ichimoku,趨勢,進階,看趨勢; 支撐阻力,ichimoku,一目均衡表,Ichimoku Kinko Hyo,trend,exact,high,細田悟一,Goichi Hosoda,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,細田悟一是目前資料庫中唯一對應「一目均衡表」的核心專家。,Goichi Hosoda is the only expert currently mapped to Ichimoku Kinko Hyo in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
kama,考夫曼自適應均線,Kaufman Adaptive Moving Average,KAMA,趨勢,進階,看趨勢; 判斷盤整,kama,KAMA 考夫曼自適應均線,Kaufman Adaptive Moving Average,trend,exact,high,佩里・考夫曼,Perry J. Kaufman,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,佩里・考夫曼是目前資料庫中唯一對應「KAMA 考夫曼自適應均線」的核心專家。,Perry J. Kaufman is the only expert currently mapped to Kaufman Adaptive Moving Average in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
kdj,KDJ 指標,KDJ Indicator,KDJ,動能,中階,找轉折; 判斷盤整,stochastic,隨機指標,Stochastic Oscillator,momentum,alias,high,喬治・藍恩,George C. Lane,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,1,0,喬治・藍恩是目前資料庫中唯一對應「隨機指標」的核心專家。,George C. Lane is the only expert currently mapped to Stochastic Oscillator in this database.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
keltner-channel,肯特納通道,Keltner Channel,KC,波動率,中階,觀察波動; 看趨勢,volatility,波動率,Volatility,volatility,split,medium,約翰・布林格,John Bollinger,安德魯・思拉舍、亞歷克斯・斯皮羅格魯,Andrew Thrasher / Alex Spiroglou,4,0,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・思拉舍、亞歷克斯・斯皮羅格魯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew Thrasher / Alex Spiroglou.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
kst,確知指標,Know Sure Thing,KST,動能,進階,追蹤強弱; 找轉折,momentum,動量,Momentum,momentum,merge,medium,拉瑞・威廉斯,Larry Williams,羅伯特・科爾比、馬丁・普林格,Robert W. Colby / Martin J. Pring,12,0,拉瑞・威廉斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・科爾比、馬丁・普林格。,"Larry Williams wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert W. Colby / Martin J. Pring.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
linear-regression-slope,線性回歸斜率,Linear Regression Slope,LRS,趨勢,進階,看趨勢; 追蹤強弱,trend-following,趨勢跟隨,Trend Following,trend,merge,medium,理查・唐奇安,Richard Donchian,威廉・彼得・漢密爾頓、達利・古比,William Peter Hamilton / Daryl Guppy,20,0,理查・唐奇安優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・彼得・漢密爾頓、達利・古比。,"Richard Donchian wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: William Peter Hamilton / Daryl Guppy.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
ma-ribbon,均線帶,Moving Average Ribbon,MA Ribbon,趨勢,中階,看趨勢; 判斷盤整,moving-average,移動平均,Moving Average,trend,split,medium,傑拉德・阿佩爾,Gerald Appel,約翰・墨菲、羅伯特・科爾比,John J. Murphy / Robert W. Colby,8,0,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為約翰・墨菲、羅伯特・科爾比。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: John J. Murphy / Robert W. Colby.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_split_review; taxonomy_confidence_review
macd,指數平滑異同移動平均線,Moving Average Convergence Divergence,MACD,動能,入門,找轉折; 看趨勢,macd,MACD,Moving Average Convergence/Divergence,momentum,exact,high,傑拉德・阿佩爾,Gerald Appel,亞歷克斯・斯皮羅格魯,Alex Spiroglou,2,0,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為亞歷克斯・斯皮羅格魯。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Alex Spiroglou.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
mass-index,質量指數,Mass Index,MI,波動率,進階,找轉折; 觀察波動,volatility,波動率,Volatility,volatility,merge,medium,約翰・布林格,John Bollinger,安德魯・思拉舍、亞歷克斯・斯皮羅格魯,Andrew Thrasher / Alex Spiroglou,4,0,約翰・布林格優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・思拉舍、亞歷克斯・斯皮羅格魯。,"John Bollinger wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew Thrasher / Alex Spiroglou.",app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,taxonomy_merge_review; taxonomy_confidence_review
mcclellan-oscillator,麥克連震盪器,McClellan Oscillator,McClellan,市場寬度,進階,看趨勢; 找轉折,mcclellan-oscillator,McClellan Oscillator,McClellan Oscillator,breadth,exact,high,謝爾曼・麥克萊倫、瑪麗安・麥克萊倫,Sherman McClellan / Marian McClellan,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,2,0,謝爾曼・麥克萊倫、瑪麗安・麥克萊倫並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Sherman McClellan / Marian McClellan are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
mfi,資金流量指標,Money Flow Index,MFI,成交量,中階,確認量能; 找轉折,mfi,MFI 資金流量指標,Money Flow Index,volume,exact,high,金・匡、阿夫魯姆・蘇達克,Gene Quong / Avrum Soudack,共同核心專家；不另設補充角色,Joint core experts; no separate runner-up assigned,2,0,金・匡、阿夫魯姆・蘇達克並列優勝；此指標/方法屬共同創作或共同權威，應並讀其資料。,Gene Quong / Avrum Soudack are joint winners; this indicator/method is best treated as a shared authority.,app.js; H-taxonomy-mapping.json; technical_analysis_complete_indicator_profiles.csv; technical_analysis_indicator_winners.csv; technical_analysis_research_materials_bilingual.csv,
