row,expert_zh,expert_en,title,material_type,source_type,evidence_level,proposed_review_state,flags,source_url
25,羅伯特・愛德華茲,Robert D. Edwards,,book,book_catalog,high,medium,book_reference_without_identifier,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X
26,羅伯特・愛德華茲,Robert D. Edwards,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X
27,羅伯特・愛德華茲,Robert D. Edwards,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp
28,約翰・麥基,John Magee,,book,book_catalog,high,medium,book_reference_without_identifier,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X
29,約翰・麥基,John Magee,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X
30,約翰・麥基,John Magee,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp
32,約翰・墨菲,John J. Murphy,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661
33,約翰・墨菲,John J. Murphy,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp
34,馬丁・普林格,Martin J. Pring,,book,book_catalog,high,medium,book_reference_without_identifier,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020
35,馬丁・普林格,Martin J. Pring,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020
36,馬丁・普林格,Martin J. Pring,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp
38,傑克・施瓦格,Jack D. Schwager,,book,book_catalog,high,medium,book_reference_without_identifier,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426
39,傑克・施瓦格,Jack D. Schwager,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426
40,傑克・施瓦格,Jack D. Schwager,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp
41,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,,book,award_or_professional,high,medium,book_reference_without_identifier,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
43,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
44,茱莉・達爾奎斯特,Julie R. Dahlquist,,book,award_or_professional,high,medium,book_reference_without_identifier,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
46,茱莉・達爾奎斯特,Julie R. Dahlquist,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
48,史蒂文・阿契利斯,Steven B. Achelis,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
49,羅伯特・科爾比,Robert W. Colby,,book,book_reference,medium,medium,book_reference_without_identifier,https://www.mheducation.com/highered/mhp/product/encyclopedia-technical-market-indicators-second-edition.html
50,羅伯特・科爾比,Robert W. Colby,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/The_Encyclopedia_Of_Technical_Market_Ind.html?id=f82LUFQVGOUC
51,羅伯特・科爾比,Robert W. Colby,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://openlibrary.org/books/OL17060688M/The_encyclopedia_of_technical_market_indicators
52,羅伯特・科爾比,Robert W. Colby,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.mheducation.com/highered/mhp/product/encyclopedia-technical-market-indicators-second-edition.html
55,佩里・考夫曼,Perry J. Kaufman,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://trendspider.com/learning-center/what-is-the-kaufman-adaptive-moving-average/
57,威爾斯・威爾德,J. Welles Wilder Jr.,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ
58,威爾斯・威爾德,J. Welles Wilder Jr.,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/r/rsi.asp
59,傑拉德・阿佩爾,Gerald Appel,,book,award_or_professional,high,medium,book_reference_without_identifier,https://cmtassociation.org/presenter/gerald-appel/
60,傑拉德・阿佩爾,Gerald Appel,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/presenter/gerald-appel/
61,傑拉德・阿佩爾,Gerald Appel,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html
62,傑拉德・阿佩爾,Gerald Appel,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/trading/macd/
64,約翰・布林格,John Bollinger,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.bollingerbands.com/
65,約翰・布林格,John Bollinger,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.bollingercapital.com/team
66,喬治・藍恩,George C. Lane,,indicator,indicator_reference,medium,medium,missing_year_review,https://www.investopedia.com/terms/s/stochasticoscillator.asp
67,喬治・藍恩,George C. Lane,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full
68,喬治・藍恩,George C. Lane,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/s/stochasticoscillator.asp
70,理查・唐奇安,Richard Donchian,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/Richard_Donchian
71,理查・唐奇安,Richard Donchian,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/donchian-channels-formula-8415235
72,圖沙・昌德,Tushar S. Chande,,book,indicator_reference,medium,medium,book_reference_without_identifier,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon
73,圖沙・昌德,Tushar S. Chande,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon
74,圖沙・昌德,Tushar S. Chande,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo
75,圖沙・昌德,Tushar S. Chande,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/s/stochrsi.asp
76,史丹利・克羅爾,Stanley Kroll,,book,indicator_reference,medium,medium,book_reference_without_identifier,https://www.investopedia.com/terms/s/stochrsi.asp
77,史丹利・克羅爾,Stanley Kroll,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html
78,史丹利・克羅爾,Stanley Kroll,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/s/stochrsi.asp
80,唐納德・蘭伯特,Donald R. Lambert,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci
81,拉瑞・威廉斯,Larry Williams,,book,indicator_reference,medium,medium,book_reference_without_identifier,https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r
83,拉瑞・威廉斯,Larry Williams,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
84,拉瑞・威廉斯,Larry Williams,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r
85,馬克・柴金,Marc Chaikin,,indicator,indicator_reference,medium,medium,missing_year_review,https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf
86,馬克・柴金,Marc Chaikin,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://chaikinanalytics.com/
87,馬克・柴金,Marc Chaikin,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf
88,約瑟夫・格蘭維爾,Joseph Granville,,book,indicator_reference,medium,medium,book_reference_without_identifier,https://www.investopedia.com/terms/o/onbalancevolume.asp
89,約瑟夫・格蘭維爾,Joseph Granville,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ
90,約瑟夫・格蘭維爾,Joseph Granville,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits
91,約瑟夫・格蘭維爾,Joseph Granville,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/o/onbalancevolume.asp
92,謝爾曼・麥克萊倫,Sherman McClellan,,book,book_reference,medium,medium,missing_year_review; book_reference_without_identifier,https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/
93,謝爾曼・麥克萊倫,Sherman McClellan,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/m/mcclellanoscillator.asp
94,謝爾曼・麥克萊倫,Sherman McClellan,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/
95,瑪麗安・麥克萊倫,Marian McClellan,,book,book_reference,medium,medium,missing_year_review; book_reference_without_identifier,https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/
96,瑪麗安・麥克萊倫,Marian McClellan,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/m/mcclellanoscillator.asp
97,瑪麗安・麥克萊倫,Marian McClellan,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/
99,理查・阿姆斯,Richard W. Arms Jr.,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/market-indicators/arms-index-trin
100,理查・阿姆斯,Richard W. Arms Jr.,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/a/arms.asp
101,艾德溫・科波克,Edwin S. Coppock,,indicator,web_reference,medium,low_review,wikipedia_or_encyclopedia_only; web_reference_needs_retyping,https://en.wikipedia.org/wiki/Coppock_curve
102,艾德溫・科波克,Edwin S. Coppock,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/Coppock_curve
103,艾德溫・科波克,Edwin S. Coppock,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.incrediblecharts.com/indicators/coppock_indicator.php
104,艾德溫・科波克,Edwin S. Coppock,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/active-trading/031814/using-coppock-curve-generate-stock-trade-signals.asp
105,湯姆・迪馬克,Tom DeMark,,book,book_reference,medium,medium,book_reference_without_identifier,https://demark.com/about/
106,湯姆・迪馬克,Tom DeMark,,indicator_library,web_reference,medium,medium,missing_year_review; web_reference_needs_retyping,https://demark.com/about/
107,湯姆・迪馬克,Tom DeMark,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://demark.com/about/
108,湯姆・迪馬克,Tom DeMark,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://demark.com/demark-indicators/
110,亞歷山大・艾爾德,Alexander Elder,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/trading/03/022603.asp
111,史蒂夫・尼森,Steve Nison,,book,book_reference,medium,medium,book_reference_without_identifier,https://candlecharts.com/about-steve-nison/
112,史蒂夫・尼森,Steve Nison,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://candlecharts.com/about-steve-nison/
113,史蒂夫・尼森,Steve Nison,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://openlibrary.org/books/OL1864784M/Japanese_candlestick_charting_techniques
114,史蒂夫・尼森,Steve Nison,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Japanese-Candlestick-Charting-Techniques-Second/dp/0735201811
115,細田悟一,Goichi Hosoda,,book_series,indicator_reference,medium,medium,book_reference_without_identifier,https://www.investopedia.com/terms/i/ichimoku-cloud.asp
116,細田悟一,Goichi Hosoda,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/i/ichimoku-cloud.asp
117,細田悟一,Goichi Hosoda,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.swissquote.com/en-ch/private/inspire/blog/technical-analysis/what-ichimoku-kinko-hyo-trading-method
118,本間宗久,Munehisa Homma,,historical_method,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; web_reference_needs_retyping,https://en.wikipedia.org/wiki/Munehisa_Homma
119,本間宗久,Munehisa Homma,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/Munehisa_Homma
120,本間宗久,Munehisa Homma,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://ftmo.com/en/blog/technical-analysis-history-of-candlestick-charts/
121,本間宗久,Munehisa Homma,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.hotcandlestick.com/candlesticks.htm
122,湯瑪斯・布考斯基,Thomas N. Bulkowski,,book,book_catalog,high,medium,book_reference_without_identifier,https://www.amazon.com/Encyclopedia-Chart-Patterns-Thomas-Bulkowski/dp/0471668265
123,湯瑪斯・布考斯基,Thomas N. Bulkowski,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://thepatternsite.com/
124,湯瑪斯・布考斯基,Thomas N. Bulkowski,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Encyclopedia-Chart-Patterns-Thomas-Bulkowski/dp/0471668265
125,路易絲・山田,Louise Yamada,,book,award_or_professional,high,medium,book_reference_without_identifier,https://cmtassociation.org/presenter/louise-yamada/
126,路易絲・山田,Louise Yamada,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/presenter/louise-yamada/
127,路易絲・山田,Louise Yamada,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.lyadvisors.com/
129,拉爾夫・阿坎波拉,Ralph Acampora,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.nyif.com/faculties/acampora-ralph
131,羅伯特・普萊切特,Robert Prechter,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/Robert_Prechter
132,羅伯特・普萊切特,Robert Prechter,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Elliott-Wave-Principle-Key-Market/dp/1616041374
134,A・J・佛羅斯特,A. J. Frost,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Elliott-Wave-Principle-Key-Market/dp/1616041374
135,A・J・佛羅斯特,A. J. Frost,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.elliottwave.com/books/elliott-wave-principle/
137,格倫・尼利,Glenn Neely,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://glennneely.com/
138,格倫・尼利,Glenn Neely,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Mastering-Elliott-Wave-Glenn-Neely/dp/0930233441
139,格倫・尼利,Glenn Neely,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.neowave.com/product-book.asp
140,艾德森・古爾德,Edson Gould,,newsletter,indicator_reference,medium,medium,missing_year_review,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp
141,艾德森・古爾德,Edson Gould,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/chart-annotation-tools/speed-resistance-lines
142,艾德森・古爾德,Edson Gould,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp
143,艾德森・古爾德,Edson Gould,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.mcoscillator.com/learning_center/weekly_chart/edson_goulds_daily_point_index/
145,保羅・德斯蒙德,Paul Desmond,,source,award_or_professional,high,medium,missing_year_review; source_row_support_only,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/
146,理查・羅素,Richard Russell,,newsletter,web_reference,medium,low_review,wikipedia_or_encyclopedia_only; web_reference_needs_retyping,https://en.wikipedia.org/wiki/Richard_Russell_(Dow_Theory)
147,理查・羅素,Richard Russell,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/Richard_Russell_(Dow_Theory)
148,理查・羅素,Richard Russell,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.fa-mag.com/news/richard-russell--publisher-of-dow-theory-letters--dies-at-91-23996.html?print=
149,理查・羅素,Richard Russell,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.trendfollowing.com/2013/03/16/ep-109-richard-russell-and-dow-theory-with-michael-covel-on-trend-following-radio/
150,史坦・溫斯坦,Stan Weinstein,,book,indicator_reference,medium,medium,book_reference_without_identifier,https://www.investopedia.com/articles/investing/070715/trading-stage-analysis.asp
151,史坦・溫斯坦,Stan Weinstein,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/investing/070715/trading-stage-analysis.asp
152,史坦・溫斯坦,Stan Weinstein,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.stageanalysis.net/
153,威廉・歐尼爾,William J. O'Neil,,book,indicator_reference,medium,medium,book_reference_without_identifier,https://www.investopedia.com/terms/c/canslim.asp
154,威廉・歐尼爾,William J. O'Neil,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cup-with-handle
155,威廉・歐尼爾,William J. O'Neil,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/c/canslim.asp
157,馬克・米勒維尼,Mark Minervini,,book,book_reference,medium,medium,book_reference_without_identifier,https://trendspider.com/learning-center/volatility-contraction-pattern-vcp/
158,馬克・米勒維尼,Mark Minervini,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://trendspider.com/learning-center/volatility-contraction-pattern-vcp/
160,尼古拉斯・達瓦斯,Nicolas Darvas,,source,web_reference,medium,low_review,missing_year_review; wikipedia_or_encyclopedia_only; source_row_support_only,https://en.wikipedia.org/wiki/Nicolas_Darvas
163,布萊恩・香農,Brian Shannon,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://books.google.com/books/about/Maximum_Trading_Gains_With_Anchored_VWAP.html?id=p3aCzwEACAAJ
164,琳達・布拉德福德・拉什克,Linda Bradford Raschke,,book,book_catalog,high,medium,book_reference_without_identifier,https://www.amazon.com/Street-Smarts-Probability-Short-Term-Strategies/dp/0965046109
165,琳達・布拉德福德・拉什克,Linda Bradford Raschke,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://lindaraschke.net/recommended-reading/
166,琳達・布拉德福德・拉什克,Linda Bradford Raschke,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Street-Smarts-Probability-Short-Term-Strategies/dp/0965046109
167,拉倫斯・康納斯,Laurence A. Connors,,book,indicator_reference,medium,medium,book_reference_without_identifier,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/connorsrsi
170,拉倫斯・康納斯,Laurence A. Connors,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/connorsrsi
171,拉倫斯・康納斯,Laurence A. Connors,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Street-Smarts-Probability-Short-Term-Strategies/dp/0965046109
172,安德魯・卡德威爾,Andrew Cardwell,,method,web_reference,medium,medium,missing_year_review; web_reference_needs_retyping,https://www.linkedin.com/in/andrew-cardwell-b318099
173,安德魯・卡德威爾,Andrew Cardwell,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/articles/active-trading/042114/overbought-or-oversold-use-relative-strength-index-find-out.asp
174,安德魯・卡德威爾,Andrew Cardwell,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.linkedin.com/in/andrew-cardwell-b318099
176,康斯坦絲・布朗,Constance Brown,,source,book_catalog,medium,medium,missing_year_review; source_row_support_only,https://www.amazon.com/Technical-Analysis-Trading-Professional-Second/dp/007175914X
177,康斯坦絲・布朗,Constance Brown,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.barchart.com/education/technical-indicators/cmb-composite-index
178,約翰・艾勒斯,John F. Ehlers,,book,book_reference,medium,medium,book_reference_without_identifier,https://www.mesasoftware.com/TechnicalArticles.htm
180,約翰・艾勒斯,John F. Ehlers,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.mesasoftware.com/TechnicalArticles.htm
182,穆雷・魯傑羅,Murray A. Ruggiero Jr.,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
184,羅伯特・帕多,Robert Pardo,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
186,霍華德・班迪,Howard Bandy,,book,book_reference,medium,medium,book_reference_without_identifier,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
187,霍華德・班迪,Howard Bandy,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
189,湯瑪斯・史翠茲曼,Thomas Stridsman,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
191,達利・古比,Daryl Guppy,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/g/guppy-multiple-moving-average.asp
192,艾倫・霍爾,Alan Hull,,indicator,web_reference,medium,medium,web_reference_needs_retyping,https://alanhull.com/the-hull-moving-average/
193,艾倫・霍爾,Alan Hull,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://alanhull.com/the-hull-moving-average/
194,艾倫・霍爾,Alan Hull,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/hull-moving-average-hma
195,約翰・麥金利,John R. McGinley,,indicator,web_reference,medium,medium,web_reference_needs_retyping,https://www.earn2trade.com/blog/mcginley-dynamic-indicator/
196,約翰・麥金利,John R. McGinley,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://dotnet.stockindicators.dev/indicators/Dynamic/
197,約翰・麥金利,John R. McGinley,,source,web_reference,medium,medium,missing_year_review; source_row_support_only,https://www.earn2trade.com/blog/mcginley-dynamic-indicator/
198,約翰・麥金利,John R. McGinley,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://www.investopedia.com/terms/m/mcginley-dynamic.asp
200,派翠克・馬洛伊,Patrick G. Mulloy,,source,indicator_reference,medium,medium,missing_year_review; source_row_support_only,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/triple-exponential-moving-average-tema
