lead_id,title,source_url,apparent_type,visibility_hint,metric_signal,preliminary_status,source_checked_at,notes
TVL-0016,Simple Trend & Breakout System v6,https://www.tradingview.com/script/plDp6ZIw/,strategy,open_or_public,"tracks win rate, PF, CAGR, drawdown",raw_lead,2026-07-03,Needs concrete Strategy Report metrics.
TVL-0017,Falcon AI BASIC,https://www.tradingview.com/script/nvPjBOft-Falcon-AI-BASIC/,strategy,unknown,PF 3.13; verified-trades claim,raw_lead,2026-07-03,Likely commercial; verify source visibility and permissions.
TVL-0018,Bitwardex AI Algo 2.0,https://www.tradingview.com/script/sJQVJQi5-Bitwardex-AI-Algo-2-0/,strategy_or_indicator,unknown,optimizer mentions best profit factor,raw_lead,2026-07-03,Needs script type and metrics.
TVL-0019,Infinity Algo Backtest,https://www.tradingview.com/script/Bufvkt08-Infinity-Algo-Backtest/,strategy,unknown,uses PF as scoring metric,raw_lead,2026-07-03,Auto-tune risk; needs verified result.
TVL-0020,Egils ATS Cross Indicator BACKTEST,https://www.tradingview.com/script/lmwQ401H-Egils-ATS-Cross-Indicator-BACKTEST/,backtester,invite_only,mentions pnl and pf,metadata_only,2026-07-03,Invite-only backtester; exclude from accepted.
TVL-0021,Negroni MA & RSI Strategy,https://www.tradingview.com/script/gFcy2cQd-Negroni-MA-RSI-Strategy-plus-trade-entry-and-SL-TP-options/,strategy,open_or_public,discusses win rate vs PF review,raw_lead,2026-07-03,Needs concrete metrics.
TVL-0022,Bybit BTCUSD.P 7 Years Backtest Results,https://fr.tradingview.com/script/qnirD0Kg/,strategy,unknown,PF 8.003; 24 trades in 7 years,support_only,2026-07-03,High PF but very low trades; C gate likely rejects as performance case.
TVL-0023,NQ/MNQ CT Scalper BACKTEST,https://www.tradingview.com/script/1kEKmbb9-NQ-MNQ-CT-Scalper-BACKTEST/,strategy,open_or_public,PF 1.41; 393 trades; costs stated,support_only,2026-07-03,Already in site bundle as support-only.
TVL-0024,Liquidity Maxing JOAT,https://www.tradingview.com/script/zmdF0UPT-Liquidity-Maxing-JOAT/,strategy,open_or_public,dashboard includes PF and trade count,raw_lead,2026-07-03,Needs concrete metrics.
TVL-0025,Atlantium Gold Ultra,https://www.tradingview.com/script/Bjez8v7B/,strategy,open_or_public,PF 1.747; win rate/drawdown stated,raw_lead,2026-07-03,"Needs date range, costs, trades, source check."
TVL-0026,Sextan Supertrend Ladder ATR Backtest,https://www.tradingview.com/script/wYJG38n7/,strategy,unknown,Strategy Tester panel metrics described,raw_lead,2026-07-03,Needs exact PF and report fields.
TVL-0027,RSI Strategy with Auto Tuner PF,https://www.tradingview.com/script/4peLdCAV-RSI-Strategy-with-Auto-Tuner-PF/,strategy,open_or_public,auto tuner optimizes PF,raw_lead,2026-07-03,Auto-tune overfit risk; needs exact result.
TVL-0028,Butterworth LPF Flip + AutoTune PF,https://www.tradingview.com/script/J7pDbIPO-Butterworth-LPF-Flip-AutoTune-PF/,strategy,open_or_public,best PF pair selection,raw_lead,2026-07-03,Auto-tune overfit risk.
TVL-0029,London Breakout Optimized PF,https://www.tradingview.com/script/g0jsictM-London-Breakout-Optimized-PF/,strategy,open_or_public,optimized PF in title,raw_lead,2026-07-03,Needs concrete result metrics.
TVL-0030,MES 15m High Win Rate Mean Reversion,https://www.tradingview.com/script/DrvKcYOv-MES-15m-High-Win-Rate-Mean-Reversion/,strategy,unknown,PF about 1.7; win rate about 60%; drawdown stated,raw_lead,2026-07-03,Low-frequency; needs trades/date/costs/source status.
TVL-0031,VOLUME VOID REAL FVGs,https://www.tradingview.com/script/U3kwQj1K-VOLUME-VOID-REAL-FVG-s-Divi-Len/,strategy_or_research,unknown,PF 1.62 and OOS 1.80 claim,raw_lead,2026-07-03,Interesting OOS claim; needs TradingView strategy type/source check.
TVL-0032,Stochastic Hash Strat,https://www.tradingview.com/script/A5WfhJfe-Stochastic-Hash-Strat-Hash-Capital-Research/,strategy,open_or_public,workflow records PF/drawdown after 50 trades,raw_lead,2026-07-03,Needs actual result values.
TVL-0033,M8 BUY END OF DAY,https://www.tradingview.com/script/X1Ee5NVw-M8-BUY-END-OF-DAY/,strategy,open_or_public,PF above 1.5 claim,raw_lead,2026-07-03,Needs exact report fields.
TVL-0034,Tectonic Regime Protocol JOAT,https://www.tradingview.com/script/AuknbPLW-Tectonic-Regime-Protocol-JOAT/,strategy,open_or_public,requires >100 trades and PF comparison,raw_lead,2026-07-03,"Good methodology, needs concrete PF row."
TVL-0035,Strict 1-Trade/Day SMC + ORB,https://www.tradingview.com/script/AeYVHi9k-Strict-1-Trade-Day-SMC-ORB/,strategy,open_or_public,PF 3.1; 59 trades; 30-day result,support_only,2026-07-03,PF high but sample/window too small.
TVL-0036,BTC MTF Engulfing Flip Strategy,https://www.tradingview.com/script/XGqSzuxJ-BTC-MTF-Engulfing-Flip-Strategy-1H-2X/,strategy,open_or_public,PF 4.20-4.63; 43-79 trades,support_only,2026-07-03,High PF but trade count below 100.
TVL-0037,BTC MTF Engulfing Flip Pyramid Strategy,https://www.tradingview.com/script/GoUoySJs-BTC-MTF-Engulfing-Flip-Pyramid-Strategy-1H-2X/,strategy,open_or_public,PF 5.54; 73 trades; drawdown stated,support_only,2026-07-03,Very high PF and below 100 trades; caveat required.
TVL-0038,AI Slop Holy Grail Trap,https://www.tradingview.com/script/xYFoVctF-AI-Slop-Holy-Grail-Trap-BTC-1H-Non-Repainting-Overfit/,strategy,open_or_public,"multiple high PF rows, explicit overfit framing",reject_candidate,2026-07-03,"Use as overfit warning/failure lesson, not accepted case."
TVL-0039,Precision Edge System JOAT,https://www.tradingview.com/script/rNLAk5IW-Precision-Edge-System-JOAT/,strategy,unknown,PF >1.5 threshold guidance,raw_lead,2026-07-03,Needs exact result metrics.
TVL-0040,EURUSD 1 Minute Chart Strategy,https://www.tradingview.com/script/F3leaL3N-EURUSD-1-Minute-Chart-Strategy/,strategy,open_or_public,high PF warning; future-data caution,reject_candidate,2026-07-03,Likely non-standard/future-data risk; failure lesson.
TVL-0041,Vortex Nexus Alpha JOAT,https://www.tradingview.com/script/hcXGamAi-Vortex-Nexus-Alpha-JOAT/,strategy,unknown,PF >1.5 threshold guidance; costs guidance,raw_lead,2026-07-03,Needs concrete report metrics.
TVL-0042,Fracture Threshold Strategy JOAT,https://www.tradingview.com/script/NwMwuyA5-Fracture-Threshold-Strategy-JOAT/,strategy,open_or_public,requires >=100 trades before trusting PF,raw_lead,2026-07-03,Already appears in site support-only dataset.
TVL-0043,LINK Grid Bot Long Strategy,https://www.tradingview.com/script/ABkXz6BY-LINK-Grid-Bot-Long-Strategy/,strategy,unknown,trade count several hundred to >1000 possible,raw_lead,2026-07-03,Needs concrete PF result and costs.
TVL-0044,EMA Pullback Speed Strategy,https://de.tradingview.com/script/cxhQ5d5x-EMA-Pullback-Speed-Strategy/,strategy,unknown,PF 1.965; date range/costs stated,raw_lead,2026-07-03,Needs visibility/source and trades/drawdown.
TVL-0045,Heikin Ashi RSI Fade Short Strategy,https://www.tradingview.com/script/oGwYWfai-Heikin-Ashi-RSI-Fade-Short-Strategy/,strategy,unknown,PF 1.117; 349 trades; costs stated,support_only,2026-07-03,Non-standard chart warning; likely not accepted.
TVL-0046,Adaptive Zero Lag EMA v2,https://www.tradingview.com/script/Q7h83i1t-Adaptive-Zero-Lag-EMA-v2/,strategy,unknown,goal PF above 2,raw_lead,2026-07-03,Needs concrete metrics.
TVL-0047,FIL Grid Strategy [3Commas],https://www.tradingview.com/script/7cAVZopZ-FIL-Grid-Strategy-3Commas/,strategy,unknown,PF 1.434; 1294 trades; drawdown stated,raw_lead,2026-07-03,Grid/cost caveat; verify source visibility.
TVL-0048,HBAR RSI Strategy [3Commas],https://id.tradingview.com/script/4OsZ6QMo-HBAR-RSI-Strategy-3Commas/,strategy,unknown,PF 11.248; 81 trades; drawdown stated,support_only,2026-07-03,Exceptional PF and below 100 trades.
TVL-0049,DeFiers-SMC Strategy,https://www.tradingview.com/script/PYbvpIag/,strategy,unknown,PF 0.94 to 1.19; drawdown stated,raw_lead,2026-07-03,Low PF; likely failure/repair lesson.
TVL-0050,Game Theory Trading Strategy,https://www.tradingview.com/script/5GmLg5FG/,strategy,open_or_public,"tracks win rate, PF, drawdown, Sharpe",raw_lead,2026-07-03,Needs concrete result metrics.
TVL-0051,Dual RSI DCA - Long Strategy by 3Commas,https://www.tradingview.com/script/qgofvS9I-Dual-RSI-DCA-Long-Strategy/,strategy,public; 3Commas account; visible strategy results,121 closed trades; PF 11.703; max DD 0.73%; net +4.50%,raw_lead,2026-07-03,Long DCA with oversold RSI entry; over sample floor.
TVL-0052,TON Grid Bot - Long Strategy by 3Commas,https://www.tradingview.com/script/H2U52D79-TON-Grid-Bot-Long-Strategy/,strategy,public; 3Commas account; visible strategy results,768 closed trades; PF 2.888; max DD 3.05%; net +10.01%,raw_lead,2026-07-03,Grid bot with strong sample size.
TVL-0053,BB-RSI Overbought DCA - Short Strategy by 3Commas,https://www.tradingview.com/script/PnnQc7fs-BB-RSI-Overbought-DCA-Short-Strategy/,strategy,public; 3Commas account; visible strategy results,PF 6.23; return +3.95%; max DD 1.53%; low volatility,raw_lead,2026-07-03,Short DCA; search snippet notes high-confidence defensive profile.
TVL-0054,POL RSI Long Strategy [3Commas],https://www.tradingview.com/script/YBB12317-POL-RSI-Long-Strategy-3Commas/,strategy,public; 3Commas account; visible strategy results,72 closed trades; PF 7.9; max DD 0.94%; net +3.58%,support_only,2026-07-03,Below sample-size floor.
TVL-0055,Triple RSI DCA Long - Risk Adjusted Averaging Strategy,https://www.tradingview.com/script/u4g3IrXS-3Commas-Triple-RSI-DCA-Long-Risk-Adjusted-Averaging-Strategy/,strategy,public; 3Commas account; visible strategy results,104 closed trades; PF 3.911; max DD 5.55%; net +13.28%,raw_lead,2026-07-03,Multi-RSI DCA with sample just above floor.
TVL-0056,BTCUSDT.P Grid Bot - Long Strategy by 3Commas,https://www.tradingview.com/script/BR74LOKo-BTCUSDT-P-Grid-Bot-Long-Strategy/,strategy,public; 3Commas account; visible strategy results,428 closed trades; PF 1.016; max DD 8.63%; net +0.90%,raw_lead,2026-07-03,Grid bot on BTC perpetual; near breakeven PF.
TVL-0057,JUP RSI Long Strategy [3Commas],https://www.tradingview.com/script/0wggzSk5-JUP-RSI-Long-Strategy-3Commas/,strategy,public; 3Commas account; visible strategy results,83 closed trades; PF 5.655; max DD 1.55%; net +3.99%,support_only,2026-07-03,Below common sample floor.
TVL-0058,NVDAX Grid Bot - Long Strategy by 3Commas,https://www.tradingview.com/script/jLKPS0lF-NVDAX-Grid-Bot-Long-Strategy/,strategy,public; 3Commas account; visible strategy results,542 closed trades; PF 2.098; max DD 4.60%; net +6.63%,raw_lead,2026-07-03,Strong grid sample with manageable drawdown.
TVL-0059,TAO RSI Oversold Doubling DCA - Long Strategy,https://www.tradingview.com/script/XuFsLXAW-3Commas-TAO-RSI-Oversold-Doubling-DCA-Long-Strategy/,strategy,public; 3Commas account; visible strategy results,89 closed trades; PF 7.259; max DD 6.29%; net +7.56%,support_only,2026-07-03,Below 100-trade floor.
TVL-0060,[3Commas] EURUSD Grid Bot - Long Strategy,https://www.tradingview.com/script/kxCXnuU6-3Commas-EURUSD-Grid-Bot-Long-Strategy/,strategy,public; 3Commas account; visible strategy results,162 closed trades; PF 2.832; max DD 0.25%; net +0.61%,raw_lead,2026-07-03,Forex grid with sample above floor.
TVL-0061,XMR RSI Short Strategy [3Commas],https://www.tradingview.com/script/CMZfvk2e-XMR-RSI-Short-Strategy-3Commas/,strategy,public; 3Commas account; visible strategy results,238 closed trades; PF 2.013; sample above floor,raw_lead,2026-07-03,Short DCA with lower-timeframe trigger.
TVL-0062,ARB RSI Short Strategy [3Commas],https://www.tradingview.com/script/ZiHWqvCl-ARB-RSI-Short-Strategy-3Commas/,strategy,public; 3Commas account; visible strategy results,10 closed trades; high PF but tiny sample,support_only,2026-07-03,Trade count far below sample floor.
TVL-0063,[3Commas] DOT RSI Reversal DCA - Short Strategy,https://www.tradingview.com/script/2SC4QXCp-3Commas-DOT-RSI-Reversal-DCA-Short-Strategy/,strategy,public; 3Commas account; visible strategy results,131 closed trades; PF 2.764; max DD not shown in snippet,raw_lead,2026-07-03,Short DCA; sample above floor.
TVL-0064,BCH RSI Strategy [3Commas],https://th.tradingview.com/script/dU643vz2-BCH-RSI-Strategy-3Commas/,strategy,public; 3Commas account; visible strategy results,131 closed trades; PF 2.821; max DD 1.73%; net +4.63%,raw_lead,2026-07-03,Long RSI strategy with adequate sample.
TVL-0065,SOL RSI DCA - Long Strategy by 3Commas,https://www.tradingview.com/script/ADx8qrBK-SOL-RSI-DCA-Long-Strategy/,strategy,public; 3Commas account; visible strategy results,29 closed trades; PF 22.256; max DD 0.63%; net +0.83%,support_only,2026-07-03,Very small sample despite strong PF.
TVL-0066,[3Commas] Equity Pulse Long - DCA on Tokenized Stocks,https://www.tradingview.com/script/8K1gTPV0-3Commas-Equity-Pulse-Long-DCA-on-Tokenized-Stocks/,strategy,public; 3Commas account; visible strategy results,243 closed trades; PF 10.54; max DD 3.11%; net +6.71%,raw_lead,2026-07-03,Tokenized-stocks DCA with large sample.
TVL-0067,[3Commas] Gold Vault Long - Strategy by 3Commas,https://www.tradingview.com/script/j36wYVnI-3Commas-Gold-Vault-Long/,strategy,public; 3Commas account; visible strategy description only in snippet,visible strategy page; metrics not captured in snippet,metadata_only,2026-07-03,Potential candidate but snippet lacked backtest metrics.
TVL-0068,[3Commas] XAUT RSI Reversal DCA - Short Strategy,https://www.tradingview.com/script/RAXMKw2a-3Commas-XAUT-RSI-Reversal-DCA-Short-Strategy/,strategy,public; 3Commas account; visible strategy settings snippet,visible strategy page; metrics not captured in snippet,metadata_only,2026-07-03,Strategy page surfaced but no metrics in search snippet.
TVL-0069,[3Commas] BCH Heikin Ashi RSI Fade - Short Strategy,https://www.tradingview.com/script/nuqVC5F7-3Commas-BCH-Heikin-Ashi-RSI-Fade-Short-Strategy/,strategy,public; 3Commas account; visible strategy settings snippet,visible strategy page; metrics not captured in snippet,metadata_only,2026-07-03,Search snippet exposed inputs but not backtest metrics.
TVL-0070,[3Commas] UNI Vault Grid - UNI/USDT,https://www.tradingview.com/script/Dc5iUh2F-3Commas-UNI-Vault-Grid-UNI-USDT/,strategy,public; 3Commas account; visible strategy page; metrics not captured in snippet,visible strategy page; built-in GRID Bot reference mentioned,metadata_only,2026-07-03,Backtest metrics omitted from snippet.
TVL-0071,[3Commas] Ether Vault Grid - ETH/USDT,https://www.tradingview.com/script/OEeqwUwB-3Commas-Ether-Vault-Grid-ETH-USDT/,strategy,public; 3Commas account; visible strategy page; metrics not captured in snippet,visible strategy page; grid levels disclosed,metadata_only,2026-07-03,Metrics not exposed in snippet.
TVL-0072,[3Commas] BTC RSI Strategy,https://tw.tradingview.com/script/eZsaqsZY-BTC-RSI-Strategy-3Commas/,strategy,public; 3Commas account; visible strategy description snippet,public strategy page; metrics not exposed in snippet,metadata_only,2026-07-03,Search snippet focused on logic and alerts only.
TVL-0073,[3Commas] ATOM RSI Strategy,https://www.tradingview.com/script/lnBGmMLT-ATOM-RSI-Strategy-3Commas/,strategy,public; 3Commas account; visible strategy description snippet,public strategy page; metrics not exposed in snippet,metadata_only,2026-07-03,Search snippet described DCA logic only.
TVL-0074,[3Commas] SILICON VAULT LONG - INTC DCA Strategy,https://www.tradingview.com/script/GhH6mW5c-3Commas-Silicon-Vault-Long-INTC-DCA-Strategy/,strategy,public; 3Commas account; visible strategy results,320 closed trades; PF 23.701; max DD 3.13%; net +11.19%,raw_lead,2026-07-03,Very strong but regime-dependent DCA.
TVL-0075,[3Commas] DOT RSI Reversal DCA - Short Strategy,https://vn.tradingview.com/script/pLmBZYsa-3Commas-POL-RSI-Reversal-DCA-Short-Strategy/,strategy,public; 3Commas account; visible strategy results,87 closed trades; PF 4.183; max DD not shown in snippet,support_only,2026-07-03,Locale variant; sample below floor.
TVL-0076,[3Commas] SILICON VAULT LONG - Indicator,https://www.tradingview.com/script/HCdv8Y2v-3Commas-Silicon-Vault-Long-Indicator/,strategy,public indicator companion; strategy metrics referenced in page,virtual P&L only; not a strategy backtest,reject_candidate,2026-07-03,Indicator companion
TVL-0077,[3Commas] BCH Heikin Ashi RSI Fade - Short Indicator,https://www.tradingview.com/script/3VSAMzYh-3Commas-BCH-Heikin-Ashi-RSI-Fade-Short-Indicator/,strategy,public indicator companion; not a strategy,signals only; no strategy tester results,reject_candidate,2026-07-03,Indicator companion
TVL-0078,[3Commas] ARB RSI Short Indicator,https://www.tradingview.com/script/hTRkPA9u-ARB-RSI-Short-Indicator-3Commas/,strategy,public indicator companion; not a strategy,signals only; no strategy tester results,reject_candidate,2026-07-03,Indicator companion
TVL-0079,[3Commas] XMR RSI Short Indicator,https://www.tradingview.com/script/8ilDuIQ4-XMR-RSI-Short-Indicator-3Commas/,strategy,public indicator companion; not a strategy,signals only; no strategy tester results,reject_candidate,2026-07-03,Indicator companion
TVL-0080,[3Commas] UNI Vault Grid - Indicator,https://www.tradingview.com/script/DFvuYOz7-3Commas-UNI-Vault-Grid-UNI-Indicator/,strategy,public indicator companion; not a strategy,virtual P&L tracker; no built-in strategy tester,reject_candidate,2026-07-03,Indicator companion
TVL-0081,[3Commas] Ether Vault Grid - Indicator,https://www.tradingview.com/script/HWSBJOFp-3Commas-Ether-Vault-Grid-Indicator/,strategy,public indicator companion; not a strategy,virtual stats card; no built-in strategy tester,reject_candidate,2026-07-03,Indicator companion
TVL-0082,3Commas DCA Bot Strategy v1.0 by prosum_solutions,https://www.tradingview.com/script/3acu61KB-3Commas-DCA-Bot-Strategy-v1-0/,strategy,public; template/compatibility helper,No Strategy Tester results surfaced in snippet,reject_candidate,2026-07-03,Template/helper strategy; not a raw lead.
TVL-0083,DCA Bot Long/Short Strategy by fiddlah,https://www.tradingview.com/script/LTcMeU50-DCA-Bot-Long-Short/,strategy,public; older generic helper strategy,No TradingView strategy metrics surfaced in snippet,raw_lead,2026-07-03,Generic DCA emulator; could merit manual inspection.
TVL-0084,Mean Reverse Grid Algorithm - The Quant Science,https://www.tradingview.com/script/gdNtbzel-Mean-Reverse-Grid-Algorithm-The-Quant-Science/,strategy,public; 3Commas-compatible backtest helper,commission 0.03% mentioned; metrics not captured in snippet,raw_lead,2026-07-03,Grid algorithm with 3Commas automation compatibility.
TVL-0085,Self-Optimizing RSI Strategy [Kioseff Trading],https://www.tradingview.com/script/6Gbcuh4k-Self-Optimizing-RSI-Strategy-Kioseff-Trading/,strategy,public; RSI strategy page,No strategy tester metrics in snippet,raw_lead,2026-07-03,RSI strategy page with parameter search.
TVL-0086,RSI Mean Reversion Bot Strategy,https://www.tradingview.com/script/PhfmO5kT-RSI-Mean-Reversion-Bot-Strategy/,strategy,public; RSI mean-reversion strategy page,No strategy tester metrics surfaced in snippet,raw_lead,2026-07-03,Older strategy page mentioning 3Commas integration.
TVL-0087,[3Commas] HA & MA,https://www.tradingview.com/script/ZMwGdzR9-3Commas-HA-MA/,strategy,public; visible strategy results,672 closed trades; PF 1.347; max DD 0.78%; net +3.25%,raw_lead,2026-07-03,Strategy tester metrics visible; DCA bot alert integration mentioned.
TVL-0088,Master myFamily v20.35.30.3K-2-1.75 (Invite-Only),https://de.tradingview.com/script/k1r54qZw/,strategy,invite-only; source hidden; metrics hidden,source hidden; 3Commas webhook compatible,metadata_only,2026-07-03,Invite-only protected page; source not inspectable.
TVL-0089,SuperTrend STRATEGY,https://www.tradingview.com/script/VLRj2sG9-SuperTrend-STRATEGY/,strategy,open_source,SuperTrend trend-following; long-only,raw_lead,2026-07-03,Open-source script; needs manual Strategy Report verification.
TVL-0090,VWAP & Band Cross Strategy v6,https://www.tradingview.com/script/1PK2hhF7-VWAP-Band-Cross-Strategy-v6/,strategy,open_source,VWAP band interaction model; risk filters,raw_lead,2026-07-03,Open-source script; needs manual Strategy Report verification.
TVL-0091,MACD Strategy by thetraderlodge,https://www.tradingview.com/script/6pQmpfVb-MACD-Strategy/,strategy,open_source,MACD line/signal cross momentum,raw_lead,2026-07-03,Open-source script; needs manual Strategy Report verification.
TVL-0092,Gaussian Channel Strategy,https://www.tradingview.com/script/erJi1tWf-Gaussian-Channel-Strategy/,strategy,open_source,Gaussian channel trend-following,raw_lead,2026-07-03,Open-source script; needs manual Strategy Report verification.
TVL-0093,Evasive SuperTrend Strategy [Source Select],https://www.tradingview.com/script/Zx1H2viP-Evasive-SuperTrend-Strategy-Source-Select/,strategy,open_source,Adaptive SuperTrend intended to reduce chop,raw_lead,2026-07-03,Open-source script; needs manual Strategy Report verification.
TVL-0094,VWAP Band 3 Mean-Reversion Strategy,https://www.tradingview.com/script/HeNW3hLL-VWAP-Band-3-Mean-Reversion-Strategy/,strategy,open_source,VWAP mean reversion with band touch logic,raw_lead,2026-07-03,Open-source script; fresh public page.
TVL-0095,MACD Strategy with trailing ATR stop,https://www.tradingview.com/script/2jDHQAJc-MACD-Strategy-with-trailing-ATR-stop/,strategy,open_source,MACD entry with ATR trailing stop,raw_lead,2026-07-03,Open-source script; backtest details need manual capture.
TVL-0096,[SM-021] Gaussian Trend System [Optimized],https://www.tradingview.com/script/xTnfnVLA-SM-021-Gaussian-Trend-System-Optimized/,strategy,open_source,Gaussian filter trend capture,raw_lead,2026-07-03,Open-source script; optimized trend system.
TVL-0097,SuperTrend Strategy [Long/Short],https://www.tradingview.com/script/ZV6yfF87/,strategy,open_source,Long/short SuperTrend reversal,raw_lead,2026-07-03,Open-source script; strategy page shows chart report and source code.
TVL-0098,VWAP Points / Percent / Ticks Strategy,https://www.tradingview.com/script/Ae87teGL-VWAP-Points-Percent-Ticks-Strategy/,strategy,open_source,VWAP distance-based entries,raw_lead,2026-07-03,Open-source script; public strategy page.
TVL-0099,RSI + MACD Multi-Timeframe Strategy,https://www.tradingview.com/script/Epqb0L8C-RSI-MACD-Multi-Timeframe-Strategy/,strategy,open_or_public,Daily RSI plus 4H MACD confirmation,raw_lead,2026-07-03,Public strategy page; verify report metrics manually.
TVL-0100,SMPivot Gaussian Trend Strategy [Js.K],https://www.tradingview.com/script/o1xFMJU7/,strategy,open_source,Gaussian-weighted MA with swing-pivot breaks,raw_lead,2026-07-03,Open-source strategy page.
TVL-0101,AI SuperTrend x Pivot Percentile - Strategy [PresentTrading],https://www.tradingview.com/script/eC3qAYNQ-AI-SuperTrend-x-Pivot-Percentile-Strategy-PresentTrading/,strategy,open_or_public,SuperTrend plus pivot percentile framework,support_only,2026-07-03,Public strategy page; likely needs extra report scrutiny.
TVL-0102,VWAP Trend Momentum,https://www.tradingview.com/script/4e2gDcHz-VWAP-Trend-Momentum/,strategy,open_or_public,Daily VWAP and EMA trend pullback entries,raw_lead,2026-07-03,Public strategy page; trend-following fit.
TVL-0103,MACD Enhanced Strategy MTF with Stop Loss [LTB],https://www.tradingview.com/script/CDdBFLLL-MACD-Enhanced-Strategy-MTF-with-Stop-Loss-LTB/,strategy,open_or_public,MTF MACD scoring with stop loss,raw_lead,2026-07-03,Public strategy page; needs report verification.
TVL-0104,TRADLEWARE-Gaussian Channel BTC,https://www.tradingview.com/script/O4li1yJ5-TRADLEWARE-Gaussian-Channel-BTC/,strategy,open_source,Gaussian channel plus Stochastic RSI on BTC,raw_lead,2026-07-03,Open-source BTC strategy.
TVL-0105,RSI-Gauss-Velocity-Strategy-WiP,https://www.tradingview.com/script/T5kd1bJ2-RSI-Gauss-Velocity-Strategy-WiP/,strategy,open_source,Gaussian filter with Stoch RSI momentum,raw_lead,2026-07-03,Open-source work-in-progress strategy.
TVL-0106,FRAMA - Supertrend strategy,https://www.tradingview.com/script/y81orwSC-FRAMA-Supertrend-strategy/,strategy,open_source,FRAMA plus Supertrend trend filter,raw_lead,2026-07-03,Open-source strategy page.
TVL-0107,Multi-Timeframe MACD Strategy ver 1.0,https://www.tradingview.com/script/WqzrfL2Q-Multi-Timeframe-MACD-Strategy-ver-1-0/,strategy,open_source,MACD on current and higher timeframe,raw_lead,2026-07-03,Open-source strategy page.
