rank,name_zh,name_en,country_region,years,role,category,main_concepts_zh,notable_works,total_score,why_selected_zh,sources
47,理查・羅素,Richard Russell,United States,1924-2015,Dow Theory Letters 作者,practitioner,道氏理論(長期推廣者)；趨勢跟隨(市場趨勢),Dow Theory Letters,19,長期撰寫 Dow Theory Letters，是道氏理論在現代市場評論中的代表人物。,https://en.wikipedia.org/wiki/Richard_Russell_(Dow_Theory)；https://www.fa-mag.com/news/richard-russell--publisher-of-dow-theory-letters--dies-at-91-23996.html?print=；https://www.trendfollowing.com/2013/03/16/ep-109-richard-russell-and-dow-theory-with-michael-covel-on-trend-following-radio/
48,史坦・溫斯坦,Stan Weinstein,United States,,股票技術分析作家,author,四階段分析(創始/推廣者)；相對強弱 / 強勢股篩選(強勢股)；成交量分析(突破量能),Secrets for Profiting in Bull and Bear Markets,21,四階段分析與相對強弱/成交量突破選股方法在股票技術分析中常被使用。,https://www.investopedia.com/articles/investing/070715/trading-stage-analysis.asp；https://www.stageanalysis.net/
49,威廉・歐尼爾,William J. O'Neil,United States,1933-2023,Investor's Business Daily 創辦人、作家,author_practitioner,CAN SLIM(創始者)；杯柄形態(推廣/定義者)；相對強弱 / 強勢股篩選(成長股選股),How to Make Money in Stocks,24,CAN SLIM、杯柄形態與相對強弱選股方法在成長股股票交易者中極具影響力。,https://www.investopedia.com/terms/c/canslim.asp；https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cup-with-handle
50,馬克・米勒維尼,Mark Minervini,United States,,股票交易者、作家,practitioner_author,VCP 波動收縮形態(創始/推廣者)；相對強弱 / 強勢股篩選(SEPA 強勢股)；杯柄形態(成長股型態),Trade Like a Stock Market Wizard；Think and Trade Like a Champion,23,以 SEPA 與 VCP 波動收縮形態聞名，是現代美股動能/成長股技術交易代表。,https://trendspider.com/learning-center/volatility-contraction-pattern-vcp/
51,尼古拉斯・達瓦斯,Nicolas Darvas,Hungary / United States,1920-1977,交易者、作家,practitioner_author,圖表型態(箱型理論)；趨勢跟隨(突破交易)；相對強弱 / 強勢股篩選(強勢股),"How I Made $2,000,000 in the Stock Market",20,Darvas Box 是早期股票箱型突破交易的經典案例。,https://en.wikipedia.org/wiki/Nicolas_Darvas
52,布萊恩・香農,Brian Shannon,United States,1967-,CMT、交易者、作家,author_practitioner,VWAP / Anchored VWAP(Anchored VWAP 推廣者)；價格行為(多週期分析)；支撐阻力(市場結構),Technical Analysis Using Multiple Timeframes；Maximum Trading Gains with Anchored VWAP,20,多週期技術分析與 Anchored VWAP 教學影響力高，適合放入 VWAP/價格結構分類。,https://books.google.com/books/about/Maximum_Trading_Gains_With_Anchored_VWAP.html?id=p3aCzwEACAAJ
53,琳達・布拉德福德・拉什克,Linda Bradford Raschke,United States,1959-,交易者、作家,practitioner_author,價格行為(短線交易)；開盤區間突破(短線策略)；交易系統(高勝率策略),Street Smarts,21,《Street Smarts》共同作者與 Market Wizards 受訪者，代表短線價格行為與實戰交易。,https://www.amazon.com/Street-Smarts-Probability-Short-Term-Strategies/dp/0965046109；https://lindaraschke.net/recommended-reading/
54,拉倫斯・康納斯,Laurence A. Connors,United States,,短線策略研究者、作家,indicator_creator,Connors RSI(創始者)；RSI 相對強弱指數(短線改良)；交易系統(短線均值回歸),Street Smarts；Short Term Trading Strategies That Work；ConnorsRSI,22,ConnorsRSI 與短線 RSI2/均值回歸策略在量化與短線交易圈常被引用。,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/connorsrsi；https://www.amazon.com/Street-Smarts-Probability-Short-Term-Strategies/dp/0965046109
55,安德魯・卡德威爾,Andrew Cardwell,United States,,RSI 專家、交易教育者,indicator_specialist,RSI 相對強弱指數(進階詮釋者)；動量(正/負反轉與區間規則),Cardwell RSI Positive/Negative Reversals,16,以 RSI Range Rules 與 Positive/Negative Reversals 聞名，是 RSI 進階應用的重要專家。,https://www.linkedin.com/in/andrew-cardwell-b318099；https://www.investopedia.com/articles/active-trading/042114/overbought-or-oversold-use-relative-strength-index-find-out.asp
56,康斯坦絲・布朗,Constance Brown,United States,,CMT、技術分析作家,indicator_specialist,RSI 相對強弱指數(進階詮釋者)；動量(Composite Index)；實證技術分析(指標組合),Technical Analysis for the Trading Professional,20,以 RSI 區間、Composite Index 與進階動量分析聞名，常被引用於 RSI 專題研究。,https://www.amazon.com/Technical-Analysis-Trading-Professional-Second/dp/007175914X；https://www.barchart.com/education/technical-indicators/cmb-composite-index
57,約翰・艾勒斯,John F. Ehlers,United States,,工程師、數位訊號處理指標作者,indicator_creator,週期分析(DSP 週期分析)；Ehlers 濾波器(濾波器)；交易系統(自適應指標),Rocket Science for Traders；Cybernetic Analysis for Stocks and Futures,24,把數位訊號處理與週期濾波引入技術指標，是現代自適應與濾波指標的重要人物。,https://www.mesasoftware.com/TechnicalArticles.htm
58,穆雷・魯傑羅,Murray A. Ruggiero Jr.,United States,,交易系統開發者、作家,system_developer,交易系統(交易系統)；回測與系統驗證(策略測試)；實證技術分析(量化規則),Cybernetic Trading Strategies,18,專注交易系統、模糊邏輯、機器學習與技術規則，適合交易系統與回測分類。,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
59,羅伯特・帕多,Robert Pardo,United States,,交易系統測試作者,system_developer,回測與系統驗證(系統測試)；交易系統(交易系統)；實證技術分析(樣本外驗證),"Design, Testing, and Optimization of Trading Systems",18,其交易系統設計、測試與優化著作是量化技術分析與策略驗證常見參考。,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
60,霍華德・班迪,Howard Bandy,United States,,量化交易系統作者,system_developer,交易系統(交易系統)；回測與系統驗證(策略驗證)；實證技術分析(統計分析),Quantitative Trading Systems；Modeling Trading System Performance,18,以交易系統建模、風險與回測流程著作聞名，適合本地資料庫後續加入策略驗證欄位。,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
61,湯瑪斯・史翠茲曼,Thomas Stridsman,Sweden / United States,,系統交易作者,system_developer,交易系統(交易系統)；回測與系統驗證(策略測試)；趨勢跟隨(系統化趨勢),Trading Systems That Work,17,交易系統設計與測試作者，對規則化技術分析與系統交易資料庫有參考價值。,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542
62,達利・古比,Daryl Guppy,Australia,,交易者、作家、指標創作者,indicator_creator,Guppy 多重移動平均(創始者)；移動平均(多均線趨勢)；趨勢跟隨(趨勢判讀),Trading Tactics,21,Guppy Multiple Moving Average 以兩組 EMA 判讀短長期交易者行為，常見於趨勢篩選。,https://www.investopedia.com/terms/g/guppy-multiple-moving-average.asp
63,艾倫・霍爾,Alan Hull,Australia,,指標創作者、交易教育者,indicator_creator,Hull 移動平均(創始者)；移動平均(低滯後均線),Hull Moving Average,19,Hull Moving Average 以降低均線滯後聞名，是均線類指標的重要改良。,https://alanhull.com/the-hull-moving-average/；https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/hull-moving-average-hma
64,約翰・麥金利,John R. McGinley,United States,,CMT、指標創作者,indicator_creator,McGinley Dynamic(創始者)；移動平均(自適應平滑),McGinley Dynamic,19,McGinley Dynamic 嘗試解決傳統均線跟不上市場速度的問題，屬均線改良指標。,https://www.earn2trade.com/blog/mcginley-dynamic-indicator/；https://www.investopedia.com/terms/m/mcginley-dynamic.asp；https://dotnet.stockindicators.dev/indicators/Dynamic/
65,派翠克・馬洛伊,Patrick G. Mulloy,United States,,指標創作者,indicator_creator,DEMA / TEMA(創始者)；移動平均(低滯後均線),Smoothing Data with Faster Moving Averages,19,DEMA/TEMA 改良均線滯後問題，在交易平台中常見。,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-overlays/triple-exponential-moving-average-tema；https://www.investopedia.com/ask/answers/041315/why-triple-exponential-moving-average-tema-important-traders-and-analysts.asp
66,傑克・哈特森,Jack K. Hutson,United States,,Technical Analysis of Stocks & Commodities 編輯、指標創作者,indicator_creator,TRIX(創始者)；動量(三重平滑動量),Good TRIX,19,TRIX 創作者，將三重 EMA 平滑後的變化率用於趨勢/動量訊號。,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/trix
67,金・匡,Gene Quong,United States,,指標共同創作者,indicator_creator,MFI 資金流量指標(共同創始者)；成交量分析(量價動量),Money Flow Index,17,Money Flow Index 共同創作者，將成交量整合進 RSI 類動量分析。,https://www.tradingview.com/support/solutions/43000502348-money-flow-mfi/；https://library.tradingtechnologies.com/trade/chrt-ti-money-flow-index.html；https://help.stockstrader.com/en/support/solutions/articles/33000210228-money-flow-index-mfi-
