expert_id,rank,name_zh,name_en,country_region,years,role,category,category_zh,category_en,total_score,concepts_zh,concepts_en,research_focus_zh,research_focus_en,representative_materials_zh,representative_materials_en,bilingual_research_summary_zh,bilingual_research_summary_en,material_count,source_count,high_evidence_count,book_count,paper_article_count,evidence_profile_zh,evidence_profile_en,authority_tier_zh,authority_tier_en,winning_concepts_zh,winning_concepts_en,winning_concept_count,winner_role_count,strong_candidate_count,important_complement_count,best_use_case_zh,best_use_case_en,integrated_note_zh,integrated_note_en
stanley-kroll,25,史丹利・克羅爾,Stanley Kroll,United States,,交易系統作者、指標共同作者,indicator_creator,技術指標創作者,Indicator creator,18,隨機 RSI（共同創始者）；VIDYA 動態平均（共同作者）；交易系統（交易系統）,Stochastic RSI (co-creator); Variable Index Dynamic Average (co-author); Trading Systems (trading systems),動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨；系統交易、規則設計與回測流程,"momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following; systematic trading, rule design, and backtesting",《新技術交易者》（1994）；參考來源：https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html；參考來源：https://www.investopedia.com/terms/s/stochrsi.asp,The New Technical Trader (1994); Reference source: https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp,史丹利・克羅爾（Stanley Kroll）定位為技術指標創作者。研究/貢獻重點集中在隨機 RSI（共同創始者）；VIDYA 動態平均（共同作者）；交易系統（交易系統）。代表資料包括《新技術交易者》（1994）；參考來源：https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html；參考來源：https://www.investopedia.com/terms/s/stochrsi.asp。可用於動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨；系統交易、規則設計與回測流程。,"Stanley Kroll (史丹利・克羅爾) is classified as a Indicator creator. The research/contribution focus is Stochastic RSI (co-creator); Variable Index Dynamic Average (co-author); Trading Systems (trading systems). Representative materials include The New Technical Trader (1994); Reference source: https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following; systematic trading, rule design, and backtesting.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,補充研究者,Complementary researcher,,,0,0,1,2,優先用於：動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨；系統交易、規則設計與回測流程。,"Best used for: momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following; systematic trading, rule design, and backtesting.",史丹利・克羅爾在完整資料庫中屬於補充研究者，可從其代表材料與優勝指標交叉研究。,Stanley Kroll is a Complementary researcher in the complete database; study the representative materials together with the winning indicators.
donald-r-lambert,26,唐納德・蘭伯特,Donald R. Lambert,United States,,指標創作者,indicator_creator,技術指標創作者,Indicator creator,20,CCI 商品通道指標（創始者）；週期分析（商品週期）,Commodity Channel Index (creator); Cycle Analysis (commodity cycles),動量、超買超賣、背離與趨勢強弱；週期、時間窗口與市場節奏判讀,"momentum, overbought/oversold conditions, divergence, and trend strength; cycles, timing windows, and market rhythm",原文題名：Commodity Channel Index（1980）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci,Commodity Channel Index (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci,唐納德・蘭伯特（Donald R. Lambert）定位為技術指標創作者。研究/貢獻重點集中在CCI 商品通道指標（創始者）；週期分析（商品週期）。代表資料包括原文題名：Commodity Channel Index（1980）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci。可用於動量、超買超賣、背離與趨勢強弱；週期、時間窗口與市場節奏判讀。,"Donald R. Lambert (唐納德・蘭伯特) is classified as a Indicator creator. The research/contribution focus is Commodity Channel Index (creator); Cycle Analysis (commodity cycles). Representative materials include Commodity Channel Index (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; cycles, timing windows, and market rhythm.",2,2,1,0,1,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 0 筆；論文/文章 1 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 0 book records; 1 paper/article records.,專題權威,Specialized authority,CCI 商品通道指標,Commodity Channel Index,1,1,0,0,優先用於：動量、超買超賣、背離與趨勢強弱；週期、時間窗口與市場節奏判讀。,"Best used for: momentum, overbought/oversold conditions, divergence, and trend strength; cycles, timing windows, and market rhythm.",唐納德・蘭伯特在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Donald R. Lambert is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
larry-williams,27,拉瑞・威廉斯,Larry Williams,United States,1942-,交易者、作家、指標創作者,indicator_creator,技術指標創作者,Indicator creator,24,Williams %R（創始者）；動量（短線動量）；市場寬度（Dow Award 研究）,Williams %R (creator); Momentum (short-term momentum); Market Breadth (Dow Award research),動量、超買超賣、背離與趨勢強弱；市場寬度、內部強弱與指數健康度判讀,"momentum, overbought/oversold conditions, divergence, and trend strength; market breadth, internal strength, and index health",《我去年如何交易商品賺進一百萬美元》（1979）；原文題名：The Ripple Effect of Daily New Lows（2024）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r,How I Made One Million Dollars Last Year Trading Commodities (1979); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r,拉瑞・威廉斯（Larry Williams）定位為技術指標創作者。研究/貢獻重點集中在Williams %R（創始者）；動量（短線動量）；市場寬度（Dow Award 研究）。代表資料包括《我去年如何交易商品賺進一百萬美元》（1979）；原文題名：The Ripple Effect of Daily New Lows（2024）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r。可用於動量、超買超賣、背離與趨勢強弱；市場寬度、內部強弱與指數健康度判讀。,"Larry Williams (拉瑞・威廉斯) is classified as a Indicator creator. The research/contribution focus is Williams %R (creator); Momentum (short-term momentum); Market Breadth (Dow Award research). Representative materials include How I Made One Million Dollars Last Year Trading Commodities (1979); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; market breadth, internal strength, and index health.",4,3,2,1,1,4 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 1 筆；論文/文章 1 筆。,4 research materials; 3 distinct sources; 2 high-evidence records; 1 book records; 1 paper/article records.,核心權威,Core authority,動量；Williams %R,Momentum; Williams %R,2,2,1,0,優先用於：動量、超買超賣、背離與趨勢強弱；市場寬度、內部強弱與指數健康度判讀。,"Best used for: momentum, overbought/oversold conditions, divergence, and trend strength; market breadth, internal strength, and index health.",拉瑞・威廉斯在完整資料庫中屬於核心權威，可從其代表材料與優勝指標交叉研究。,Larry Williams is a Core authority in the complete database; study the representative materials together with the winning indicators.
marc-chaikin,28,馬克・柴金,Marc Chaikin,United States,,技術分析師、指標創作者,indicator_creator,技術指標創作者,Indicator creator,20,Chaikin 資金流（創始者）；成交量分析（量價/資金流）,Chaikin Money Flow (creator); Volume Analysis (price-volume / money-flow analysis),量價關係、資金流與供需分析,"price-volume relationships, money flow, and supply/demand",原文題名：Chaikin Money Flow；參考來源：https://chaikinanalytics.com/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf,Chaikin Money Flow; Reference source: https://chaikinanalytics.com/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf,馬克・柴金（Marc Chaikin）定位為技術指標創作者。研究/貢獻重點集中在Chaikin 資金流（創始者）；成交量分析（量價/資金流）。代表資料包括原文題名：Chaikin Money Flow；參考來源：https://chaikinanalytics.com/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf。可用於量價關係、資金流與供需分析。,"Marc Chaikin (馬克・柴金) is classified as a Indicator creator. The research/contribution focus is Chaikin Money Flow (creator); Volume Analysis (price-volume / money-flow analysis). Representative materials include Chaikin Money Flow; Reference source: https://chaikinanalytics.com/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf. The work is useful for price-volume relationships, money flow, and supply/demand.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,專題權威,Specialized authority,Chaikin 資金流,Chaikin Money Flow,1,1,0,0,優先用於：量價關係、資金流與供需分析。,"Best used for: price-volume relationships, money flow, and supply/demand.",馬克・柴金在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Marc Chaikin is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
joseph-granville,29,約瑟夫・格蘭維爾,Joseph Granville,United States,1923-2013,市場通訊作者、指標創作者,indicator_creator,技術指標創作者,Indicator creator,22,OBV 能量潮（創始者）；成交量分析（量價分析）,On-Balance Volume (creator); Volume Analysis (price-volume analysis),量價關係、資金流與供需分析,"price-volume relationships, money flow, and supply/demand",《格蘭維爾股市獲利新鑰》（1963）；參考來源：https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ；參考來源：https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits；參考來源：https://www.investopedia.com/terms/o/onbalancevolume.asp,Granville's New Key to Stock Market Profits (1963); Reference source: https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ; Reference source: https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits; Reference source: https://www.investopedia.com/terms/o/onbalancevolume.asp,約瑟夫・格蘭維爾（Joseph Granville）定位為技術指標創作者。研究/貢獻重點集中在OBV 能量潮（創始者）；成交量分析（量價分析）。代表資料包括《格蘭維爾股市獲利新鑰》（1963）；參考來源：https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ；參考來源：https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits；參考來源：https://www.investopedia.com/terms/o/onbalancevolume.asp。可用於量價關係、資金流與供需分析。,"Joseph Granville (約瑟夫・格蘭維爾) is classified as a Indicator creator. The research/contribution focus is On-Balance Volume (creator); Volume Analysis (price-volume analysis). Representative materials include Granville's New Key to Stock Market Profits (1963); Reference source: https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ; Reference source: https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits; Reference source: https://www.investopedia.com/terms/o/onbalancevolume.asp. The work is useful for price-volume relationships, money flow, and supply/demand.",4,3,0,1,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,重要權威,Major authority,OBV 能量潮,On-Balance Volume,1,1,0,1,優先用於：量價關係、資金流與供需分析。,"Best used for: price-volume relationships, money flow, and supply/demand.",約瑟夫・格蘭維爾在完整資料庫中屬於重要權威，可從其代表材料與優勝指標交叉研究。,Joseph Granville is a Major authority in the complete database; study the representative materials together with the winning indicators.
sherman-mcclellan,30,謝爾曼・麥克萊倫,Sherman McClellan,United States,,市場寬度指標創作者,indicator_creator,技術指標創作者,Indicator creator,20,McClellan Oscillator（共同創始者）；市場寬度（市場寬度）,McClellan Oscillator (co-creator); Market Breadth (market breadth),市場寬度、內部強弱與指數健康度判讀,"market breadth, internal strength, and index health",《獲利型態》；參考來源：https://www.investopedia.com/terms/m/mcclellanoscillator.asp；參考來源：https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/,Patterns for Profit; Reference source: https://www.investopedia.com/terms/m/mcclellanoscillator.asp; Reference source: https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/,謝爾曼・麥克萊倫（Sherman McClellan）定位為技術指標創作者。研究/貢獻重點集中在McClellan Oscillator（共同創始者）；市場寬度（市場寬度）。代表資料包括《獲利型態》；參考來源：https://www.investopedia.com/terms/m/mcclellanoscillator.asp；參考來源：https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/。可用於市場寬度、內部強弱與指數健康度判讀。,"Sherman McClellan (謝爾曼・麥克萊倫) is classified as a Indicator creator. The research/contribution focus is McClellan Oscillator (co-creator); Market Breadth (market breadth). Representative materials include Patterns for Profit; Reference source: https://www.investopedia.com/terms/m/mcclellanoscillator.asp; Reference source: https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/. The work is useful for market breadth, internal strength, and index health.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,專題權威,Specialized authority,McClellan Oscillator,McClellan Oscillator,1,1,0,1,優先用於：市場寬度、內部強弱與指數健康度判讀。,"Best used for: market breadth, internal strength, and index health.",謝爾曼・麥克萊倫在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Sherman McClellan is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
marian-mcclellan,31,瑪麗安・麥克萊倫,Marian McClellan,United States,,市場寬度指標共同創作者,indicator_creator,技術指標創作者,Indicator creator,20,McClellan Oscillator（共同創始者）；市場寬度（市場寬度）,McClellan Oscillator (co-creator); Market Breadth (market breadth),市場寬度、內部強弱與指數健康度判讀,"market breadth, internal strength, and index health",《獲利型態》；參考來源：https://www.investopedia.com/terms/m/mcclellanoscillator.asp；參考來源：https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/,Patterns for Profit; Reference source: https://www.investopedia.com/terms/m/mcclellanoscillator.asp; Reference source: https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/,瑪麗安・麥克萊倫（Marian McClellan）定位為技術指標創作者。研究/貢獻重點集中在McClellan Oscillator（共同創始者）；市場寬度（市場寬度）。代表資料包括《獲利型態》；參考來源：https://www.investopedia.com/terms/m/mcclellanoscillator.asp；參考來源：https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/。可用於市場寬度、內部強弱與指數健康度判讀。,"Marian McClellan (瑪麗安・麥克萊倫) is classified as a Indicator creator. The research/contribution focus is McClellan Oscillator (co-creator); Market Breadth (market breadth). Representative materials include Patterns for Profit; Reference source: https://www.investopedia.com/terms/m/mcclellanoscillator.asp; Reference source: https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/. The work is useful for market breadth, internal strength, and index health.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,專題權威,Specialized authority,McClellan Oscillator,McClellan Oscillator,1,1,0,1,優先用於：市場寬度、內部強弱與指數健康度判讀。,"Best used for: market breadth, internal strength, and index health.",瑪麗安・麥克萊倫在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Marian McClellan is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
richard-w-arms-jr,32,理查・阿姆斯,Richard W. Arms Jr.,United States,1930-2018,市場寬度指標創作者,indicator_creator,技術指標創作者,Indicator creator,20,TRIN / Arms Index（創始者）；市場寬度（市場寬度）；成交量分析（成交量廣度）,Arms Index (creator); Market Breadth (market breadth); Volume Analysis (volume breadth),市場寬度、內部強弱與指數健康度判讀；量價關係、資金流與供需分析,"market breadth, internal strength, and index health; price-volume relationships, money flow, and supply/demand",原文題名：The Arms Index（1967）；參考來源：https://chartschool.stockcharts.com/table-of-contents/market-indicators/arms-index-trin；參考來源：https://www.investopedia.com/terms/a/arms.asp,The Arms Index (1967); Reference source: https://chartschool.stockcharts.com/table-of-contents/market-indicators/arms-index-trin; Reference source: https://www.investopedia.com/terms/a/arms.asp,理查・阿姆斯（Richard W. Arms Jr.）定位為技術指標創作者。研究/貢獻重點集中在TRIN / Arms Index（創始者）；市場寬度（市場寬度）；成交量分析（成交量廣度）。代表資料包括原文題名：The Arms Index（1967）；參考來源：https://chartschool.stockcharts.com/table-of-contents/market-indicators/arms-index-trin；參考來源：https://www.investopedia.com/terms/a/arms.asp。可用於市場寬度、內部強弱與指數健康度判讀；量價關係、資金流與供需分析。,"Richard W. Arms Jr. (理查・阿姆斯) is classified as a Indicator creator. The research/contribution focus is Arms Index (creator); Market Breadth (market breadth); Volume Analysis (volume breadth). Representative materials include The Arms Index (1967); Reference source: https://chartschool.stockcharts.com/table-of-contents/market-indicators/arms-index-trin; Reference source: https://www.investopedia.com/terms/a/arms.asp. The work is useful for market breadth, internal strength, and index health; price-volume relationships, money flow, and supply/demand.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,專題權威,Specialized authority,TRIN / Arms Index,Arms Index,1,1,0,1,優先用於：市場寬度、內部強弱與指數健康度判讀；量價關係、資金流與供需分析。,"Best used for: market breadth, internal strength, and index health; price-volume relationships, money flow, and supply/demand.",理查・阿姆斯在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Richard W. Arms Jr. is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
edwin-s-coppock,33,艾德溫・科波克,Edwin S. Coppock,United States,1918-1999,經濟學家、指標創作者,indicator_creator,技術指標創作者,Indicator creator,20,Coppock 曲線（創始者）；動量（長期動量）,Coppock Curve (creator); Momentum (long-term momentum),動量、超買超賣、背離與趨勢強弱,"momentum, overbought/oversold conditions, divergence, and trend strength",原文題名：Coppock Curve（1962）；參考來源：https://en.wikipedia.org/wiki/Coppock_curve；參考來源：https://www.incrediblecharts.com/indicators/coppock_indicator.php；參考來源：https://www.investopedia.com/articles/active-trading/031814/using-coppock-curve-generate-stock-trade-signals.asp,Coppock Curve (1962); Reference source: https://en.wikipedia.org/wiki/Coppock_curve; Reference source: https://www.incrediblecharts.com/indicators/coppock_indicator.php; Reference source: https://www.investopedia.com/articles/active-trading/031814/using-coppock-curve-generate-stock-trade-signals.asp,艾德溫・科波克（Edwin S. Coppock）定位為技術指標創作者。研究/貢獻重點集中在Coppock 曲線（創始者）；動量（長期動量）。代表資料包括原文題名：Coppock Curve（1962）；參考來源：https://en.wikipedia.org/wiki/Coppock_curve；參考來源：https://www.incrediblecharts.com/indicators/coppock_indicator.php；參考來源：https://www.investopedia.com/articles/active-trading/031814/using-coppock-curve-generate-stock-trade-signals.asp。可用於動量、超買超賣、背離與趨勢強弱。,"Edwin S. Coppock (艾德溫・科波克) is classified as a Indicator creator. The research/contribution focus is Coppock Curve (creator); Momentum (long-term momentum). Representative materials include Coppock Curve (1962); Reference source: https://en.wikipedia.org/wiki/Coppock_curve; Reference source: https://www.incrediblecharts.com/indicators/coppock_indicator.php; Reference source: https://www.investopedia.com/articles/active-trading/031814/using-coppock-curve-generate-stock-trade-signals.asp. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength.",4,3,0,0,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,專題權威,Specialized authority,Coppock 曲線,Coppock Curve,1,1,0,1,優先用於：動量、超買超賣、背離與趨勢強弱。,"Best used for: momentum, overbought/oversold conditions, divergence, and trend strength.",艾德溫・科波克在完整資料庫中屬於專題權威，可從其代表材料與優勝指標交叉研究。,Edwin S. Coppock is a Specialized authority in the complete database; study the representative materials together with the winning indicators.
tom-demark,34,湯姆・迪馬克,Tom DeMark,United States,,指標創作者、機構顧問,indicator_creator,技術指標創作者,Indicator creator,24,DeMark 指標（創始者）；市場時機（市場時機）,DeMARK Indicators (creator); Market Timing (market timing),市場時機、轉折與進出場判斷,"market timing, turns, and entry/exit decisions",《技術分析新科學》（1994）；原文題名：DeMARK Indicators；參考來源：https://demark.com/about/；參考來源：https://demark.com/demark-indicators/,The New Science of Technical Analysis (1994); DeMARK Indicators; Reference source: https://demark.com/about/; Reference source: https://demark.com/demark-indicators/,湯姆・迪馬克（Tom DeMark）定位為技術指標創作者。研究/貢獻重點集中在DeMark 指標（創始者）；市場時機（市場時機）。代表資料包括《技術分析新科學》（1994）；原文題名：DeMARK Indicators；參考來源：https://demark.com/about/；參考來源：https://demark.com/demark-indicators/。可用於市場時機、轉折與進出場判斷。,"Tom DeMark (湯姆・迪馬克) is classified as a Indicator creator. The research/contribution focus is DeMARK Indicators (creator); Market Timing (market timing). Representative materials include The New Science of Technical Analysis (1994); DeMARK Indicators; Reference source: https://demark.com/about/; Reference source: https://demark.com/demark-indicators/. The work is useful for market timing, turns, and entry/exit decisions.",4,2,0,1,0,4 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,核心權威,Core authority,DeMark 指標；市場時機,DeMARK Indicators; Market Timing,2,2,0,0,優先用於：市場時機、轉折與進出場判斷。,"Best used for: market timing, turns, and entry/exit decisions.",湯姆・迪馬克在完整資料庫中屬於核心權威，可從其代表材料與優勝指標交叉研究。,Tom DeMark is a Core authority in the complete database; study the representative materials together with the winning indicators.
alexander-elder,35,亞歷山大・艾爾德,Alexander Elder,United States,1950-,交易者、心理醫師、作家,indicator_creator,技術指標創作者,Indicator creator,24,Elder-Ray（創始者）；Force Index（創始者）；交易系統（Triple Screen）,Elder-Ray Index (creator); Force Index (creator); Trading Systems (Triple Screen),動量、超買超賣、背離與趨勢強弱；量價關係、資金流與供需分析；系統交易、規則設計與回測流程,"momentum, overbought/oversold conditions, divergence, and trend strength; price-volume relationships, money flow, and supply/demand; systematic trading, rule design, and backtesting",《以交易為生》（1993）；參考來源：https://www.investopedia.com/articles/trading/03/022603.asp,Trading for a Living (1993); Reference source: https://www.investopedia.com/articles/trading/03/022603.asp,亞歷山大・艾爾德（Alexander Elder）定位為技術指標創作者。研究/貢獻重點集中在Elder-Ray（創始者）；Force Index（創始者）；交易系統（Triple Screen）。代表資料包括《以交易為生》（1993）；參考來源：https://www.investopedia.com/articles/trading/03/022603.asp。可用於動量、超買超賣、背離與趨勢強弱；量價關係、資金流與供需分析；系統交易、規則設計與回測流程。,"Alexander Elder (亞歷山大・艾爾德) is classified as a Indicator creator. The research/contribution focus is Elder-Ray Index (creator); Force Index (creator); Trading Systems (Triple Screen). Representative materials include Trading for a Living (1993); Reference source: https://www.investopedia.com/articles/trading/03/022603.asp. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; price-volume relationships, money flow, and supply/demand; systematic trading, rule design, and backtesting.",2,2,1,1,0,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,核心權威,Core authority,Elder-Ray；Force Index,Elder-Ray Index; Force Index,2,2,0,1,優先用於：動量、超買超賣、背離與趨勢強弱；量價關係、資金流與供需分析；系統交易、規則設計與回測流程。,"Best used for: momentum, overbought/oversold conditions, divergence, and trend strength; price-volume relationships, money flow, and supply/demand; systematic trading, rule design, and backtesting.",亞歷山大・艾爾德在完整資料庫中屬於核心權威，可從其代表材料與優勝指標交叉研究。,Alexander Elder is a Core authority in the complete database; study the representative materials together with the winning indicators.
steve-nison,36,史蒂夫・尼森,Steve Nison,United States,,K 線技術分析作家,author,經典著作作者,Classic author,23,K 線 / 蠟燭圖（西方推廣者）；圖表型態（K 線型態）,Candlestick Charting (Western popularizer); Chart Patterns (candlestick patterns),圖表型態、價格結構與支撐阻力,"chart patterns, price structure, and support/resistance",《日本蠟燭圖技術》（1991）；參考來源：https://candlecharts.com/about-steve-nison/；參考來源：https://openlibrary.org/books/OL1864784M/Japanese_candlestick_charting_techniques；參考來源：https://www.amazon.com/Japanese-Candlestick-Charting-Techniques-Second/dp/0735201811,Japanese Candlestick Charting Techniques (1991); Reference source: https://candlecharts.com/about-steve-nison/; Reference source: https://openlibrary.org/books/OL1864784M/Japanese_candlestick_charting_techniques; Reference source: https://www.amazon.com/Japanese-Candlestick-Charting-Techniques-Second/dp/0735201811,史蒂夫・尼森（Steve Nison）定位為經典著作作者。研究/貢獻重點集中在K 線 / 蠟燭圖（西方推廣者）；圖表型態（K 線型態）。代表資料包括《日本蠟燭圖技術》（1991）；參考來源：https://candlecharts.com/about-steve-nison/；參考來源：https://openlibrary.org/books/OL1864784M/Japanese_candlestick_charting_techniques；參考來源：https://www.amazon.com/Japanese-Candlestick-Charting-Techniques-Second/dp/0735201811。可用於圖表型態、價格結構與支撐阻力。,"Steve Nison (史蒂夫・尼森) is classified as a Classic author. The research/contribution focus is Candlestick Charting (Western popularizer); Chart Patterns (candlestick patterns). Representative materials include Japanese Candlestick Charting Techniques (1991); Reference source: https://candlecharts.com/about-steve-nison/; Reference source: https://openlibrary.org/books/OL1864784M/Japanese_candlestick_charting_techniques; Reference source: https://www.amazon.com/Japanese-Candlestick-Charting-Techniques-Second/dp/0735201811. The work is useful for chart patterns, price structure, and support/resistance.",4,3,0,1,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,重要權威,Major authority,K 線 / 蠟燭圖,Candlestick Charting,1,1,0,0,優先用於：圖表型態、價格結構與支撐阻力。,"Best used for: chart patterns, price structure, and support/resistance.",史蒂夫・尼森在完整資料庫中屬於重要權威，可從其代表材料與優勝指標交叉研究。,Steve Nison is a Major authority in the complete database; study the representative materials together with the winning indicators.
