material_id,expert_rank,expert_zh,expert_en,title_zh,title_en,material_type,material_type_zh,material_type_en,year,concepts_zh,concepts_en,source_url,source_title,source_type,source_type_zh,source_type_en,doi,isbn13,openlibrary_key,google_books_id,evidence_level,evidence_level_zh,evidence_level_en,notes_zh,notes_en
11,4,理查・威科夫,Richard D. Wyckoff,《讀帶研究》,Studies in Tape Reading,book,書籍,Book,1910,威科夫方法；成交量分析；讀帶 / 盤口判讀,Wyckoff Method; Volume Analysis; Tape Reading,https://openlibrary.org/works/OL17554455W,Studies in Tape Reading,book_catalog,書目資料,Book catalog,,,/works/OL17554455W,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",威科夫方法以供需、量價、累積/派發分析股票，是現代價格行為與量價交易的重要基礎。,Research material linked to Richard D. Wyckoff for Wyckoff Method; Volume Analysis; Tape Reading.
12,4,理查・威科夫,Richard D. Wyckoff,《我如何交易與投資股票和債券》,How I Trade and Invest in Stocks and Bonds,book,書籍,Book,1924,威科夫方法；成交量分析；讀帶 / 盤口判讀,Wyckoff Method; Volume Analysis; Tape Reading,https://openlibrary.org/works/OL124134W,How I trade and invest in stocks and bonds,book_catalog,書目資料,Book catalog,,,/works/OL124134W,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",威科夫方法以供需、量價、累積/派發分析股票，是現代價格行為與量價交易的重要基礎。,Research material linked to Richard D. Wyckoff for Wyckoff Method; Volume Analysis; Tape Reading.
13,4,理查・威科夫,Richard D. Wyckoff,參考來源：https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,Reference source: https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,source,參考來源,Reference source,,威科夫方法；成交量分析；讀帶 / 盤口判讀,Wyckoff Method; Volume Analysis; Tape Reading,https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",威科夫方法以供需、量價、累積/派發分析股票，是現代價格行為與量價交易的重要基礎。,Research material linked to Richard D. Wyckoff for Wyckoff Method; Volume Analysis; Tape Reading.
14,5,傑西・李佛摩,Jesse Livermore,《如何交易股票》,How to Trade in Stocks,book,書籍,Book,1940,讀帶 / 盤口判讀；價格行為；趨勢跟隨,Tape Reading; Price Action; Trend Following,https://openlibrary.org/works/OL7913587W,How to Trade In Stocks,book_catalog,書目資料,Book catalog,,,/works/OL7913587W,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",以價格行為、關鍵價位與趨勢操作聞名，雖非學院派作者，但對後世交易方法影響巨大。,Research material linked to Jesse Livermore for Tape Reading; Price Action; Trend Following.
15,5,傑西・李佛摩,Jesse Livermore,參考來源：https://en.wikipedia.org/wiki/Jesse_Livermore,Reference source: https://en.wikipedia.org/wiki/Jesse_Livermore,source,參考來源,Reference source,,讀帶 / 盤口判讀；價格行為；趨勢跟隨,Tape Reading; Price Action; Trend Following,https://en.wikipedia.org/wiki/Jesse_Livermore,https://en.wikipedia.org/wiki/Jesse_Livermore,web_reference,網頁參考,Web reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",以價格行為、關鍵價位與趨勢操作聞名，雖非學院派作者，但對後世交易方法影響巨大。,Research material linked to Jesse Livermore for Tape Reading; Price Action; Trend Following.
16,6,威廉・江恩,W. D. Gann,《股市讀帶真相》,Truth of the Stock Tape,book,書籍,Book,1923,江恩理論；週期分析；支撐阻力,Gann Methods; Cycle Analysis; Support and Resistance,https://openlibrary.org/works/OL7423643W,Truth of the Stock Tape,book_catalog,書目資料,Book catalog,,,/works/OL7423643W,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",江恩角度、時間循環、價格幾何在技術分析史上具代表性，適合歸於週期與時間價格分析資料。,Research material linked to W. D. Gann for Gann Methods; Cycle Analysis; Support and Resistance.
17,6,威廉・江恩,W. D. Gann,《華爾街四十五年》,45 Years in Wall Street,book,書籍,Book,1941,江恩理論；週期分析；支撐阻力,Gann Methods; Cycle Analysis; Support and Resistance,https://openlibrary.org/works/OL7423632W,45 years in Wall Street,book_catalog,書目資料,Book catalog,,,/works/OL7423632W,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",江恩角度、時間循環、價格幾何在技術分析史上具代表性，適合歸於週期與時間價格分析資料。,Research material linked to W. D. Gann for Gann Methods; Cycle Analysis; Support and Resistance.
18,6,威廉・江恩,W. D. Gann,參考來源：https://en.wikipedia.org/wiki/William_Delbert_Gann,Reference source: https://en.wikipedia.org/wiki/William_Delbert_Gann,source,參考來源,Reference source,,江恩理論；週期分析；支撐阻力,Gann Methods; Cycle Analysis; Support and Resistance,https://en.wikipedia.org/wiki/William_Delbert_Gann,https://en.wikipedia.org/wiki/William_Delbert_Gann,web_reference,網頁參考,Web reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",江恩角度、時間循環、價格幾何在技術分析史上具代表性，適合歸於週期與時間價格分析資料。,Research material linked to W. D. Gann for Gann Methods; Cycle Analysis; Support and Resistance.
19,7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,《波浪原理》,The Wave Principle,book,書籍,Book,1938,艾略特波浪；週期分析,Elliott Wave; Cycle Analysis,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,The Wave Principle,book_reference,書籍參考,Book reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",艾略特波浪是最知名的技術分析分支之一，常用於股票指數、外匯與商品的趨勢結構判讀。,Research material linked to Ralph Nelson Elliott for Elliott Wave; Cycle Analysis.
20,7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,參考來源：https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,Reference source: https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,source,參考來源,Reference source,,艾略特波浪；週期分析,Elliott Wave; Cycle Analysis,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,web_reference,網頁參考,Web reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",艾略特波浪是最知名的技術分析分支之一，常用於股票指數、外匯與商品的趨勢結構判讀。,Research material linked to Ralph Nelson Elliott for Elliott Wave; Cycle Analysis.
21,7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,參考來源：https://www.investopedia.com/terms/e/elliottwavetheory.asp,Reference source: https://www.investopedia.com/terms/e/elliottwavetheory.asp,source,參考來源,Reference source,,艾略特波浪；週期分析,Elliott Wave; Cycle Analysis,https://www.investopedia.com/terms/e/elliottwavetheory.asp,https://www.investopedia.com/terms/e/elliottwavetheory.asp,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",艾略特波浪是最知名的技術分析分支之一，常用於股票指數、外匯與商品的趨勢結構判讀。,Research material linked to Ralph Nelson Elliott for Elliott Wave; Cycle Analysis.
22,8,理查・沙巴克,Richard W. Schabacker,《技術分析與股市獲利》,Technical Analysis and Stock Market Profits,book,書籍,Book,1932,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,Technical Analysis and Stock Market Profits,book_reference,書籍參考,Book reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",把圖表型態、趨勢、支撐阻力整理成完整技術分析體系，並影響 Edwards 與 Magee。,Research material linked to Richard W. Schabacker for Chart Patterns; Support and Resistance.
24,8,理查・沙巴克,Richard W. Schabacker,參考來源：https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns,Reference source: https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns,source,參考來源,Reference source,,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",把圖表型態、趨勢、支撐阻力整理成完整技術分析體系，並影響 Edwards 與 Magee。,Research material linked to Richard W. Schabacker for Chart Patterns; Support and Resistance.
23,8,理查・沙巴克,Richard W. Schabacker,參考來源：https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,Reference source: https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,source,參考來源,Reference source,,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,web_reference,網頁參考,Web reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",把圖表型態、趨勢、支撐阻力整理成完整技術分析體系，並影響 Edwards 與 Magee。,Research material linked to Richard W. Schabacker for Chart Patterns; Support and Resistance.
25,9,羅伯特・愛德華茲,Robert D. Edwards,《股票趨勢技術分析》,Technical Analysis of Stock Trends,book,書籍,Book,1948,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,Technical Analysis of Stock Trends,book_catalog,書目資料,Book catalog,,,,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",與 John Magee 合著的《Technical Analysis of Stock Trends》是圖表型態領域最常被引用的經典之一。,Research material linked to Robert D. Edwards for Chart Patterns; Support and Resistance.
26,9,羅伯特・愛德華茲,Robert D. Edwards,參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,source,參考來源,Reference source,,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,book_catalog,書目資料,Book catalog,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",與 John Magee 合著的《Technical Analysis of Stock Trends》是圖表型態領域最常被引用的經典之一。,Research material linked to Robert D. Edwards for Chart Patterns; Support and Resistance.
27,9,羅伯特・愛德華茲,Robert D. Edwards,參考來源：https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,source,參考來源,Reference source,,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",與 John Magee 合著的《Technical Analysis of Stock Trends》是圖表型態領域最常被引用的經典之一。,Research material linked to Robert D. Edwards for Chart Patterns; Support and Resistance.
28,10,約翰・麥基,John Magee,《股票趨勢技術分析》,Technical Analysis of Stock Trends,book,書籍,Book,1948,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,Technical Analysis of Stock Trends,book_catalog,書目資料,Book catalog,,,,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",與 Edwards 共同建立現代圖表型態教材框架，對股票技術分析教育影響深。,Research material linked to John Magee for Chart Patterns; Support and Resistance.
29,10,約翰・麥基,John Magee,參考來源：https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,Reference source: https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,source,參考來源,Reference source,,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,book_catalog,書目資料,Book catalog,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",與 Edwards 共同建立現代圖表型態教材框架，對股票技術分析教育影響深。,Research material linked to John Magee for Chart Patterns; Support and Resistance.
30,10,約翰・麥基,John Magee,參考來源：https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,Reference source: https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,source,參考來源,Reference source,,圖表型態；支撐阻力,Chart Patterns; Support and Resistance,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",與 Edwards 共同建立現代圖表型態教材框架，對股票技術分析教育影響深。,Research material linked to John Magee for Chart Patterns; Support and Resistance.
31,11,約翰・墨菲,John J. Murphy,《金融市場技術分析》,Technical Analysis of the Financial Markets,book,書籍,Book,1999,移動平均；圖表型態；市場寬度,Moving Average; Chart Patterns; Market Breadth,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,Technical Analysis of the Financial Markets,book_catalog,書目資料,Book catalog,,,/works/OL1957750W,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",綜合型技術分析教材代表作者，涵蓋趨勢、型態、指標、跨市場分析與期貨/股票應用。,Research material linked to John J. Murphy for Moving Average; Chart Patterns; Market Breadth.
32,11,約翰・墨菲,John J. Murphy,參考來源：https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,Reference source: https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,source,參考來源,Reference source,,移動平均；圖表型態；市場寬度,Moving Average; Chart Patterns; Market Breadth,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,book_catalog,書目資料,Book catalog,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",綜合型技術分析教材代表作者，涵蓋趨勢、型態、指標、跨市場分析與期貨/股票應用。,Research material linked to John J. Murphy for Moving Average; Chart Patterns; Market Breadth.
33,11,約翰・墨菲,John J. Murphy,參考來源：https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,source,參考來源,Reference source,,移動平均；圖表型態；市場寬度,Moving Average; Chart Patterns; Market Breadth,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",綜合型技術分析教材代表作者，涵蓋趨勢、型態、指標、跨市場分析與期貨/股票應用。,Research material linked to John J. Murphy for Moving Average; Chart Patterns; Market Breadth.
34,12,馬丁・普林格,Martin J. Pring,《技術分析詳解》,Technical Analysis Explained,book,書籍,Book,1980,動量；週期分析；趨勢跟隨,Momentum; Cycle Analysis; Trend Following,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,Technical Analysis Explained,book_catalog,書目資料,Book catalog,,,,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",著作廣、教材地位高，特別適合整理動量、週期、趨勢與市場心理指標。,Research material linked to Martin J. Pring for Momentum; Cycle Analysis; Trend Following.
35,12,馬丁・普林格,Martin J. Pring,參考來源：https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,Reference source: https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,source,參考來源,Reference source,,動量；週期分析；趨勢跟隨,Momentum; Cycle Analysis; Trend Following,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,book_catalog,書目資料,Book catalog,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",著作廣、教材地位高，特別適合整理動量、週期、趨勢與市場心理指標。,Research material linked to Martin J. Pring for Momentum; Cycle Analysis; Trend Following.
36,12,馬丁・普林格,Martin J. Pring,參考來源：https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,Reference source: https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,source,參考來源,Reference source,,動量；週期分析；趨勢跟隨,Momentum; Cycle Analysis; Trend Following,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,indicator_reference,指標參考,Indicator reference,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",著作廣、教材地位高，特別適合整理動量、週期、趨勢與市場心理指標。,Research material linked to Martin J. Pring for Momentum; Cycle Analysis; Trend Following.
38,13,傑克・施瓦格,Jack D. Schwager,原文題名：Market Wizards,Market Wizards,book,書籍,Book,1989,圖表型態；交易系統；價格行為,Chart Patterns; Trading Systems; Price Action,https://openlibrary.org/works/OL15838199W,Market wizards,book_catalog,書目資料,Book catalog,,,/works/OL15838199W,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",技術分析入門書與 Market Wizards 訪談系列讓大量實戰交易方法被系統化保存。,Research material linked to Jack D. Schwager for Chart Patterns; Trading Systems; Price Action.
37,13,傑克・施瓦格,Jack D. Schwager,《技術分析入門》,Getting Started in Technical Analysis,book,書籍,Book,1999,圖表型態；交易系統；價格行為,Chart Patterns; Trading Systems; Price Action,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,Getting Started in Technical Analysis,book_catalog,書目資料,Book catalog,,,,,high,高：官方、書目、論文、CMT/專業來源或主要指標參考,"High: official, bibliographic, paper, CMT/professional, or primary indicator reference",技術分析入門書與 Market Wizards 訪談系列讓大量實戰交易方法被系統化保存。,Research material linked to Jack D. Schwager for Chart Patterns; Trading Systems; Price Action.
39,13,傑克・施瓦格,Jack D. Schwager,參考來源：https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,Reference source: https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,source,參考來源,Reference source,,圖表型態；交易系統；價格行為,Chart Patterns; Trading Systems; Price Action,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,book_catalog,書目資料,Book catalog,,,,,medium,中：可靠網頁、百科、交易平台或二級整理來源,"Medium: reliable web, encyclopedia, platform, or secondary reference",技術分析入門書與 Market Wizards 訪談系列讓大量實戰交易方法被系統化保存。,Research material linked to Jack D. Schwager for Chart Patterns; Trading Systems; Price Action.
