rank,expert_id,name_zh,name_en,country_region,years,category,category_zh,category_en,concepts_zh,concepts_en,research_focus_zh,research_focus_en,representative_materials_zh,representative_materials_en,contribution_summary_zh,contribution_summary_en,bilingual_research_summary_zh,bilingual_research_summary_en,material_count,source_count,high_evidence_count,book_count,paper_article_count,evidence_profile_zh,evidence_profile_en,translation_status
20,gerald-appel,傑拉德・阿佩爾,Gerald Appel,United States,1933-2020,indicator_creator,技術指標創作者,Indicator creator,MACD（創始者）；移動平均（動量均線）,Moving Average Convergence/Divergence (creator); Moving Average (momentum moving average),動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨,"momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following",《技術分析：主動投資者的強力工具》（2005）；參考來源：https://cmtassociation.org/presenter/gerald-appel/；參考來源：https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html；參考來源：https://www.investopedia.com/trading/macd/,Technical Analysis: Power Tools for Active Investors (2005); Reference source: https://cmtassociation.org/presenter/gerald-appel/; Reference source: https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html; Reference source: https://www.investopedia.com/trading/macd/,MACD 創作者，MACD 是全球交易平台中最普及的動量/趨勢指標之一。,"Gerald Appel (傑拉德・阿佩爾) is classified as a Indicator creator. The research/contribution focus is Moving Average Convergence/Divergence (creator); Moving Average (momentum moving average). Representative materials include Technical Analysis: Power Tools for Active Investors (2005); Reference source: https://cmtassociation.org/presenter/gerald-appel/; Reference source: https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html; Reference source: https://www.investopedia.com/trading/macd/. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following.",傑拉德・阿佩爾（Gerald Appel）定位為技術指標創作者。研究/貢獻重點集中在MACD（創始者）；移動平均（動量均線）。代表資料包括《技術分析：主動投資者的強力工具》（2005）；參考來源：https://cmtassociation.org/presenter/gerald-appel/；參考來源：https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html；參考來源：https://www.investopedia.com/trading/macd/。可用於動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨。,"Gerald Appel (傑拉德・阿佩爾) is classified as a Indicator creator. The research/contribution focus is Moving Average Convergence/Divergence (creator); Moving Average (momentum moving average). Representative materials include Technical Analysis: Power Tools for Active Investors (2005); Reference source: https://cmtassociation.org/presenter/gerald-appel/; Reference source: https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html; Reference source: https://www.investopedia.com/trading/macd/. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following.",4,3,2,1,0,4 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 2 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
21,john-bollinger,約翰・布林格,John Bollinger,United States,1950-,indicator_creator,技術指標創作者,Indicator creator,布林通道（創始者）；波動率（波動通道）,Bollinger Bands (creator); Volatility (volatility bands),波動率、通道寬度與風險環境,"volatility, channel width, and risk regimes",《布林格談布林通道》（2001）；參考來源：https://www.bollingerbands.com/；參考來源：https://www.bollingercapital.com/team,Bollinger on Bollinger Bands (2001); Reference source: https://www.bollingerbands.com/; Reference source: https://www.bollingercapital.com/team,布林通道創作者，對波動率自適應通道與相對高低位判讀具核心地位。,"John Bollinger (約翰・布林格) is classified as a Indicator creator. The research/contribution focus is Bollinger Bands (creator); Volatility (volatility bands). Representative materials include Bollinger on Bollinger Bands (2001); Reference source: https://www.bollingerbands.com/; Reference source: https://www.bollingercapital.com/team. The work is useful for volatility, channel width, and risk regimes.",約翰・布林格（John Bollinger）定位為技術指標創作者。研究/貢獻重點集中在布林通道（創始者）；波動率（波動通道）。代表資料包括《布林格談布林通道》（2001）；參考來源：https://www.bollingerbands.com/；參考來源：https://www.bollingercapital.com/team。可用於波動率、通道寬度與風險環境。,"John Bollinger (約翰・布林格) is classified as a Indicator creator. The research/contribution focus is Bollinger Bands (creator); Volatility (volatility bands). Representative materials include Bollinger on Bollinger Bands (2001); Reference source: https://www.bollingerbands.com/; Reference source: https://www.bollingercapital.com/team. The work is useful for volatility, channel width, and risk regimes.",3,3,1,1,0,3 筆研究材料；3 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
22,george-c-lane,喬治・藍恩,George C. Lane,United States,1921-2004,indicator_creator,技術指標創作者,Indicator creator,隨機指標（創始/推廣者）；動量（動量先行觀念）,Stochastic Oscillator (creator/promoter); Momentum (momentum-leading concept),動量、超買超賣、背離與趨勢強弱,"momentum, overbought/oversold conditions, divergence, and trend strength",原文題名：Lane's Stochastics；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full；參考來源：https://www.investopedia.com/terms/s/stochasticoscillator.asp,Lane's Stochastics; Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full; Reference source: https://www.investopedia.com/terms/s/stochasticoscillator.asp,隨機指標代表人物；Stochastic 與 RSI、MACD 同屬最普及動量指標。,"George C. Lane (喬治・藍恩) is classified as a Indicator creator. The research/contribution focus is Stochastic Oscillator (creator/promoter); Momentum (momentum-leading concept). Representative materials include Lane's Stochastics; Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full; Reference source: https://www.investopedia.com/terms/s/stochasticoscillator.asp. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength.",喬治・藍恩（George C. Lane）定位為技術指標創作者。研究/貢獻重點集中在隨機指標（創始/推廣者）；動量（動量先行觀念）。代表資料包括原文題名：Lane's Stochastics；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full；參考來源：https://www.investopedia.com/terms/s/stochasticoscillator.asp。可用於動量、超買超賣、背離與趨勢強弱。,"George C. Lane (喬治・藍恩) is classified as a Indicator creator. The research/contribution focus is Stochastic Oscillator (creator/promoter); Momentum (momentum-leading concept). Representative materials include Lane's Stochastics; Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full; Reference source: https://www.investopedia.com/terms/s/stochasticoscillator.asp. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,normalized bilingual summary
23,richard-donchian,理查・唐奇安,Richard Donchian,United States,1905-1993,indicator_creator,技術指標創作者,Indicator creator,唐奇安通道（創始者）；趨勢跟隨（趨勢跟隨先驅）,Donchian Channel (creator); Trend Following (trend-following pioneer),趨勢辨識、均線、通道與趨勢跟隨,"trend identification, moving averages, channels, and trend following",原文題名：Commodity Trend Timing（1960）；參考來源：https://en.wikipedia.org/wiki/Richard_Donchian；參考來源：https://www.investopedia.com/donchian-channels-formula-8415235,Commodity Trend Timing (1960); Reference source: https://en.wikipedia.org/wiki/Richard_Donchian; Reference source: https://www.investopedia.com/donchian-channels-formula-8415235,被視為趨勢跟隨與管理期貨先驅，唐奇安通道是突破交易和 Turtle 系統的重要基礎。,"Richard Donchian (理查・唐奇安) is classified as a Indicator creator. The research/contribution focus is Donchian Channel (creator); Trend Following (trend-following pioneer). Representative materials include Commodity Trend Timing (1960); Reference source: https://en.wikipedia.org/wiki/Richard_Donchian; Reference source: https://www.investopedia.com/donchian-channels-formula-8415235. The work is useful for trend identification, moving averages, channels, and trend following.",理查・唐奇安（Richard Donchian）定位為技術指標創作者。研究/貢獻重點集中在唐奇安通道（創始者）；趨勢跟隨（趨勢跟隨先驅）。代表資料包括原文題名：Commodity Trend Timing（1960）；參考來源：https://en.wikipedia.org/wiki/Richard_Donchian；參考來源：https://www.investopedia.com/donchian-channels-formula-8415235。可用於趨勢辨識、均線、通道與趨勢跟隨。,"Richard Donchian (理查・唐奇安) is classified as a Indicator creator. The research/contribution focus is Donchian Channel (creator); Trend Following (trend-following pioneer). Representative materials include Commodity Trend Timing (1960); Reference source: https://en.wikipedia.org/wiki/Richard_Donchian; Reference source: https://www.investopedia.com/donchian-channels-formula-8415235. The work is useful for trend identification, moving averages, channels, and trend following.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,normalized bilingual summary
24,tushar-s-chande,圖沙・昌德,Tushar S. Chande,India / United States,,indicator_creator,技術指標創作者,Indicator creator,Aroon 指標（創始者）；Chande 動量震盪器（創始者）；VIDYA 動態平均（創始者）；隨機 RSI（共同創始者）,Aroon (creator); Chande Momentum Oscillator (creator); Variable Index Dynamic Average (creator); Stochastic RSI (co-creator),趨勢辨識、均線、通道與趨勢跟隨；動量、超買超賣、背離與趨勢強弱,"trend identification, moving averages, channels, and trend following; momentum, overbought/oversold conditions, divergence, and trend strength",《新技術交易者》（1994）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo；參考來源：https://www.investopedia.com/terms/s/stochrsi.asp,The New Technical Trader (1994); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp,Aroon、CMO、VIDYA、StochRSI 等多個指標與其相關，是技術指標資料庫的重點人物。,"Tushar S. Chande (圖沙・昌德) is classified as a Indicator creator. The research/contribution focus is Aroon (creator); Chande Momentum Oscillator (creator); Variable Index Dynamic Average (creator); Stochastic RSI (co-creator). Representative materials include The New Technical Trader (1994); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp. The work is useful for trend identification, moving averages, channels, and trend following; momentum, overbought/oversold conditions, divergence, and trend strength.",圖沙・昌德（Tushar S. Chande）定位為技術指標創作者。研究/貢獻重點集中在Aroon 指標（創始者）；Chande 動量震盪器（創始者）；VIDYA 動態平均（創始者）；隨機 RSI（共同創始者）。代表資料包括《新技術交易者》（1994）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo；參考來源：https://www.investopedia.com/terms/s/stochrsi.asp。可用於趨勢辨識、均線、通道與趨勢跟隨；動量、超買超賣、背離與趨勢強弱。,"Tushar S. Chande (圖沙・昌德) is classified as a Indicator creator. The research/contribution focus is Aroon (creator); Chande Momentum Oscillator (creator); Variable Index Dynamic Average (creator); Stochastic RSI (co-creator). Representative materials include The New Technical Trader (1994); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/aroon; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmo; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp. The work is useful for trend identification, moving averages, channels, and trend following; momentum, overbought/oversold conditions, divergence, and trend strength.",4,3,0,1,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
25,stanley-kroll,史丹利・克羅爾,Stanley Kroll,United States,,indicator_creator,技術指標創作者,Indicator creator,隨機 RSI（共同創始者）；VIDYA 動態平均（共同作者）；交易系統（交易系統）,Stochastic RSI (co-creator); Variable Index Dynamic Average (co-author); Trading Systems (trading systems),動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨；系統交易、規則設計與回測流程,"momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following; systematic trading, rule design, and backtesting",《新技術交易者》（1994）；參考來源：https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html；參考來源：https://www.investopedia.com/terms/s/stochrsi.asp,The New Technical Trader (1994); Reference source: https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp,與 Tushar Chande 合作提出 StochRSI 與相關動態指標方法。,"Stanley Kroll (史丹利・克羅爾) is classified as a Indicator creator. The research/contribution focus is Stochastic RSI (co-creator); Variable Index Dynamic Average (co-author); Trading Systems (trading systems). Representative materials include The New Technical Trader (1994); Reference source: https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following; systematic trading, rule design, and backtesting.",史丹利・克羅爾（Stanley Kroll）定位為技術指標創作者。研究/貢獻重點集中在隨機 RSI（共同創始者）；VIDYA 動態平均（共同作者）；交易系統（交易系統）。代表資料包括《新技術交易者》（1994）；參考來源：https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html；參考來源：https://www.investopedia.com/terms/s/stochrsi.asp。可用於動量、超買超賣、背離與趨勢強弱；趨勢辨識、均線、通道與趨勢跟隨；系統交易、規則設計與回測流程。,"Stanley Kroll (史丹利・克羅爾) is classified as a Indicator creator. The research/contribution focus is Stochastic RSI (co-creator); Variable Index Dynamic Average (co-author); Trading Systems (trading systems). Representative materials include The New Technical Trader (1994); Reference source: https://www.fxcorporate.com/help/MS/LOGOUT/i_Vidya.html; Reference source: https://www.investopedia.com/terms/s/stochrsi.asp. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; trend identification, moving averages, channels, and trend following; systematic trading, rule design, and backtesting.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
26,donald-r-lambert,唐納德・蘭伯特,Donald R. Lambert,United States,,indicator_creator,技術指標創作者,Indicator creator,CCI 商品通道指標（創始者）；週期分析（商品週期）,Commodity Channel Index (creator); Cycle Analysis (commodity cycles),動量、超買超賣、背離與趨勢強弱；週期、時間窗口與市場節奏判讀,"momentum, overbought/oversold conditions, divergence, and trend strength; cycles, timing windows, and market rhythm",原文題名：Commodity Channel Index（1980）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci,Commodity Channel Index (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci,CCI 創作者；CCI 從商品週期工具延伸到股票、ETF、外匯等市場。,"Donald R. Lambert (唐納德・蘭伯特) is classified as a Indicator creator. The research/contribution focus is Commodity Channel Index (creator); Cycle Analysis (commodity cycles). Representative materials include Commodity Channel Index (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; cycles, timing windows, and market rhythm.",唐納德・蘭伯特（Donald R. Lambert）定位為技術指標創作者。研究/貢獻重點集中在CCI 商品通道指標（創始者）；週期分析（商品週期）。代表資料包括原文題名：Commodity Channel Index（1980）；參考來源：https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci。可用於動量、超買超賣、背離與趨勢強弱；週期、時間窗口與市場節奏判讀。,"Donald R. Lambert (唐納德・蘭伯特) is classified as a Indicator creator. The research/contribution focus is Commodity Channel Index (creator); Cycle Analysis (commodity cycles). Representative materials include Commodity Channel Index (1980); Reference source: https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/commodity-channel-index-cci. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; cycles, timing windows, and market rhythm.",2,2,1,0,1,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 0 筆；論文/文章 1 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 0 book records; 1 paper/article records.,normalized bilingual summary
27,larry-williams,拉瑞・威廉斯,Larry Williams,United States,1942-,indicator_creator,技術指標創作者,Indicator creator,Williams %R（創始者）；動量（短線動量）；市場寬度（Dow Award 研究）,Williams %R (creator); Momentum (short-term momentum); Market Breadth (Dow Award research),動量、超買超賣、背離與趨勢強弱；市場寬度、內部強弱與指數健康度判讀,"momentum, overbought/oversold conditions, divergence, and trend strength; market breadth, internal strength, and index health",《我去年如何交易商品賺進一百萬美元》（1979）；原文題名：The Ripple Effect of Daily New Lows（2024）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r,How I Made One Million Dollars Last Year Trading Commodities (1979); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r,Williams %R、Ultimate Oscillator 等工具與多本交易著作皆具影響力，亦為 2024 Dow Award 共同得主。,"Larry Williams (拉瑞・威廉斯) is classified as a Indicator creator. The research/contribution focus is Williams %R (creator); Momentum (short-term momentum); Market Breadth (Dow Award research). Representative materials include How I Made One Million Dollars Last Year Trading Commodities (1979); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; market breadth, internal strength, and index health.",拉瑞・威廉斯（Larry Williams）定位為技術指標創作者。研究/貢獻重點集中在Williams %R（創始者）；動量（短線動量）；市場寬度（Dow Award 研究）。代表資料包括《我去年如何交易商品賺進一百萬美元》（1979）；原文題名：The Ripple Effect of Daily New Lows（2024）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r。可用於動量、超買超賣、背離與趨勢強弱；市場寬度、內部強弱與指數健康度判讀。,"Larry Williams (拉瑞・威廉斯) is classified as a Indicator creator. The research/contribution focus is Williams %R (creator); Momentum (short-term momentum); Market Breadth (Dow Award research). Representative materials include How I Made One Million Dollars Last Year Trading Commodities (1979); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r. The work is useful for momentum, overbought/oversold conditions, divergence, and trend strength; market breadth, internal strength, and index health.",4,3,2,1,1,4 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 1 筆；論文/文章 1 筆。,4 research materials; 3 distinct sources; 2 high-evidence records; 1 book records; 1 paper/article records.,normalized bilingual summary
28,marc-chaikin,馬克・柴金,Marc Chaikin,United States,,indicator_creator,技術指標創作者,Indicator creator,Chaikin 資金流（創始者）；成交量分析（量價/資金流）,Chaikin Money Flow (creator); Volume Analysis (price-volume / money-flow analysis),量價關係、資金流與供需分析,"price-volume relationships, money flow, and supply/demand",原文題名：Chaikin Money Flow；參考來源：https://chaikinanalytics.com/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf,Chaikin Money Flow; Reference source: https://chaikinanalytics.com/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf,Chaikin Money Flow 與 Chaikin 系列量價指標被廣泛內建於交易平台。,"Marc Chaikin (馬克・柴金) is classified as a Indicator creator. The research/contribution focus is Chaikin Money Flow (creator); Volume Analysis (price-volume / money-flow analysis). Representative materials include Chaikin Money Flow; Reference source: https://chaikinanalytics.com/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf. The work is useful for price-volume relationships, money flow, and supply/demand.",馬克・柴金（Marc Chaikin）定位為技術指標創作者。研究/貢獻重點集中在Chaikin 資金流（創始者）；成交量分析（量價/資金流）。代表資料包括原文題名：Chaikin Money Flow；參考來源：https://chaikinanalytics.com/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf。可用於量價關係、資金流與供需分析。,"Marc Chaikin (馬克・柴金) is classified as a Indicator creator. The research/contribution focus is Chaikin Money Flow (creator); Volume Analysis (price-volume / money-flow analysis). Representative materials include Chaikin Money Flow; Reference source: https://chaikinanalytics.com/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/cmf. The work is useful for price-volume relationships, money flow, and supply/demand.",3,2,0,0,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 0 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 0 book records; 0 paper/article records.,normalized bilingual summary
29,joseph-granville,約瑟夫・格蘭維爾,Joseph Granville,United States,1923-2013,indicator_creator,技術指標創作者,Indicator creator,OBV 能量潮（創始者）；成交量分析（量價分析）,On-Balance Volume (creator); Volume Analysis (price-volume analysis),量價關係、資金流與供需分析,"price-volume relationships, money flow, and supply/demand",《格蘭維爾股市獲利新鑰》（1963）；參考來源：https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ；參考來源：https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits；參考來源：https://www.investopedia.com/terms/o/onbalancevolume.asp,Granville's New Key to Stock Market Profits (1963); Reference source: https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ; Reference source: https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits; Reference source: https://www.investopedia.com/terms/o/onbalancevolume.asp,OBV 創作者，將成交量作為價格先行壓力的概念推廣到股票市場。,"Joseph Granville (約瑟夫・格蘭維爾) is classified as a Indicator creator. The research/contribution focus is On-Balance Volume (creator); Volume Analysis (price-volume analysis). Representative materials include Granville's New Key to Stock Market Profits (1963); Reference source: https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ; Reference source: https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits; Reference source: https://www.investopedia.com/terms/o/onbalancevolume.asp. The work is useful for price-volume relationships, money flow, and supply/demand.",約瑟夫・格蘭維爾（Joseph Granville）定位為技術指標創作者。研究/貢獻重點集中在OBV 能量潮（創始者）；成交量分析（量價分析）。代表資料包括《格蘭維爾股市獲利新鑰》（1963）；參考來源：https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ；參考來源：https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits；參考來源：https://www.investopedia.com/terms/o/onbalancevolume.asp。可用於量價關係、資金流與供需分析。,"Joseph Granville (約瑟夫・格蘭維爾) is classified as a Indicator creator. The research/contribution focus is On-Balance Volume (creator); Volume Analysis (price-volume analysis). Representative materials include Granville's New Key to Stock Market Profits (1963); Reference source: https://books.google.com/books/about/New_Key_to_Stock_Market_Profits.html?id=Z8xl5AAACAAJ; Reference source: https://openlibrary.org/works/OL3510350W/New_key_to_stock_market_profits; Reference source: https://www.investopedia.com/terms/o/onbalancevolume.asp. The work is useful for price-volume relationships, money flow, and supply/demand.",4,3,0,1,0,4 筆研究材料；3 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,4 research materials; 3 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
30,sherman-mcclellan,謝爾曼・麥克萊倫,Sherman McClellan,United States,,indicator_creator,技術指標創作者,Indicator creator,McClellan Oscillator（共同創始者）；市場寬度（市場寬度）,McClellan Oscillator (co-creator); Market Breadth (market breadth),市場寬度、內部強弱與指數健康度判讀,"market breadth, internal strength, and index health",《獲利型態》；參考來源：https://www.investopedia.com/terms/m/mcclellanoscillator.asp；參考來源：https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/,Patterns for Profit; Reference source: https://www.investopedia.com/terms/m/mcclellanoscillator.asp; Reference source: https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/,與 Marian McClellan 共同開發 McClellan Oscillator 與 Summation Index。,"Sherman McClellan (謝爾曼・麥克萊倫) is classified as a Indicator creator. The research/contribution focus is McClellan Oscillator (co-creator); Market Breadth (market breadth). Representative materials include Patterns for Profit; Reference source: https://www.investopedia.com/terms/m/mcclellanoscillator.asp; Reference source: https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/. The work is useful for market breadth, internal strength, and index health.",謝爾曼・麥克萊倫（Sherman McClellan）定位為技術指標創作者。研究/貢獻重點集中在McClellan Oscillator（共同創始者）；市場寬度（市場寬度）。代表資料包括《獲利型態》；參考來源：https://www.investopedia.com/terms/m/mcclellanoscillator.asp；參考來源：https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/。可用於市場寬度、內部強弱與指數健康度判讀。,"Sherman McClellan (謝爾曼・麥克萊倫) is classified as a Indicator creator. The research/contribution focus is McClellan Oscillator (co-creator); Market Breadth (market breadth). Representative materials include Patterns for Profit; Reference source: https://www.investopedia.com/terms/m/mcclellanoscillator.asp; Reference source: https://www.mcoscillator.com/learning_center/kb/mcclellan_oscillator/the_origin_story_of_the_mcclellan_oscillator/. The work is useful for market breadth, internal strength, and index health.",3,2,0,1,0,3 筆研究材料；2 個不同來源；0 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 0 high-evidence records; 1 book records; 0 paper/article records.,normalized bilingual summary
