concept_slug,concept_zh,concept_en,concept_family,expert_count,has_common_research,winner_expert_ids,winner_zh,winner_en,winner_score,runner_up_zh,runner_up_en,judgment_zh,judgment_en,basis_zh,basis_en,caveat_zh,caveat_en
candlestick,K 線 / 蠟燭圖,Candlestick Charting,charting,3,yes,steve-nison,史蒂夫・尼森,Steve Nison,93.15,湯瑪斯・布考斯基、本間宗久,Thomas N. Bulkowski / Munehisa Homma,史蒂夫・尼森優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為湯瑪斯・布考斯基、本間宗久。,"Steve Nison wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Thomas N. Bulkowski / Munehisa Homma.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
cci,CCI 商品通道指標,Commodity Channel Index,momentum,1,no,donald-r-lambert,唐納德・蘭伯特,Donald R. Lambert,99.7,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,唐納德・蘭伯特是目前資料庫中唯一對應「CCI 商品通道指標」的核心專家。,Donald R. Lambert is the only expert currently mapped to Commodity Channel Index in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
chaikin-money-flow,Chaikin 資金流,Chaikin Money Flow,volume,1,no,marc-chaikin,馬克・柴金,Marc Chaikin,100.2,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,馬克・柴金是目前資料庫中唯一對應「Chaikin 資金流」的核心專家。,Marc Chaikin is the only expert currently mapped to Chaikin Money Flow in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
chart-patterns,圖表型態,Chart Patterns,charting,12,yes,thomas-n-bulkowski,湯瑪斯・布考斯基,Thomas N. Bulkowski,86.45,茱莉・達爾奎斯特、羅伯特・愛德華茲,Julie R. Dahlquist / Robert D. Edwards,湯瑪斯・布考斯基優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為茱莉・達爾奎斯特、羅伯特・愛德華茲。,"Thomas N. Bulkowski wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Julie R. Dahlquist / Robert D. Edwards.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
cmo,Chande 動量震盪器,Chande Momentum Oscillator,momentum,1,no,tushar-s-chande,圖沙・昌德,Tushar S. Chande,107.2,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,圖沙・昌德是目前資料庫中唯一對應「Chande 動量震盪器」的核心專家。,Tushar S. Chande is the only expert currently mapped to Chande Momentum Oscillator in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
connors-rsi,Connors RSI,ConnorsRSI,momentum,1,no,laurence-a-connors,拉倫斯・康納斯,Laurence A. Connors,107.8,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,拉倫斯・康納斯是目前資料庫中唯一對應「Connors RSI」的核心專家。,Laurence A. Connors is the only expert currently mapped to ConnorsRSI in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
coppock-curve,Coppock 曲線,Coppock Curve,momentum,1,no,edwin-s-coppock,艾德溫・科波克,Edwin S. Coppock,103.0,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,艾德溫・科波克是目前資料庫中唯一對應「Coppock 曲線」的核心專家。,Edwin S. Coppock is the only expert currently mapped to Coppock Curve in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
cup-with-handle,杯柄形態,Cup With Handle,charting,2,yes,william-j-o-neil,威廉・歐尼爾,William J. O'Neil,75.4,馬克・米勒維尼,Mark Minervini,威廉・歐尼爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為馬克・米勒維尼。,"William J. O'Neil wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Mark Minervini.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
cycle-analysis,週期分析,Cycle Analysis,cycle,6,yes,john-f-ehlers,約翰・艾勒斯,John F. Ehlers,84.5,威廉・江恩、拉爾夫・尼爾森・艾略特,W. D. Gann / Ralph Nelson Elliott,約翰・艾勒斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・江恩、拉爾夫・尼爾森・艾略特。,"John F. Ehlers wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: W. D. Gann / Ralph Nelson Elliott.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
demark-indicators,DeMark 指標,DeMARK Indicators,market_timing,1,no,tom-demark,湯姆・迪馬克,Tom DeMark,106.0,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,湯姆・迪馬克是目前資料庫中唯一對應「DeMark 指標」的核心專家。,Tom DeMark is the only expert currently mapped to DeMARK Indicators in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
donchian-channel,唐奇安通道,Donchian Channel,trend,1,no,richard-donchian,理查・唐奇安,Richard Donchian,102.3,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,理查・唐奇安是目前資料庫中唯一對應「唐奇安通道」的核心專家。,Richard Donchian is the only expert currently mapped to Donchian Channel in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
dow-theory,道氏理論,Dow Theory,foundation,7,yes,charles-h-dow,查爾斯・道,Charles H. Dow,109.35,威廉・彼得・漢密爾頓、羅伯特・里亞,William Peter Hamilton / Robert Rhea,查爾斯・道優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・彼得・漢密爾頓、羅伯特・里亞。,"Charles H. Dow wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: William Peter Hamilton / Robert Rhea.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
ehlers-filters,Ehlers 濾波器,Ehlers Filters,cycle,1,no,john-f-ehlers,約翰・艾勒斯,John F. Ehlers,75.5,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,約翰・艾勒斯是目前資料庫中唯一對應「Ehlers 濾波器」的核心專家。,John F. Ehlers is the only expert currently mapped to Ehlers Filters in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
elder-ray,Elder-Ray,Elder-Ray Index,momentum,1,no,alexander-elder,亞歷山大・艾爾德,Alexander Elder,103.9,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,亞歷山大・艾爾德是目前資料庫中唯一對應「Elder-Ray」的核心專家。,Alexander Elder is the only expert currently mapped to Elder-Ray Index in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
elliott-wave,艾略特波浪,Elliott Wave,wave,6,yes,ralph-nelson-elliott,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,109.3,羅伯特・普萊切特、A・J・佛羅斯特,Robert Prechter / A. J. Frost,拉爾夫・尼爾森・艾略特優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・普萊切特、A・J・佛羅斯特。,"Ralph Nelson Elliott wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert Prechter / A. J. Frost.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
evidence-based-ta,實證技術分析,Evidence-Based Technical Analysis,research,12,yes,david-aronson,大衛・阿隆森,David Aronson,82.25,安德魯・羅、巴夫・多米爾,Andrew W. Lo / Buff Dormeier,大衛・阿隆森優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為安德魯・羅、巴夫・多米爾。,"David Aronson wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Andrew W. Lo / Buff Dormeier.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
fibonacci,費波納契時間/價格,Fibonacci Time and Price,support_resistance,3,yes,joe-dinapoli,喬・迪納波利,Joe DiNapoli,75.95,卡洛琳・波羅登、羅伯特・邁納,Carolyn Boroden / Robert C. Miner,喬・迪納波利優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為卡洛琳・波羅登、羅伯特・邁納。,"Joe DiNapoli wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Carolyn Boroden / Robert C. Miner.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
force-index,Force Index,Force Index,volume,1,no,alexander-elder,亞歷山大・艾爾德,Alexander Elder,103.9,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,亞歷山大・艾爾德是目前資料庫中唯一對應「Force Index」的核心專家。,Alexander Elder is the only expert currently mapped to Force Index in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
gann,江恩理論,Gann Methods,cycle,1,no,w-d-gann,威廉・江恩,W. D. Gann,103.7,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,威廉・江恩是目前資料庫中唯一對應「江恩理論」的核心專家。,W. D. Gann is the only expert currently mapped to Gann Methods in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
guppy-mma,Guppy 多重移動平均,Guppy Multiple Moving Average,trend,1,no,daryl-guppy,達利・古比,Daryl Guppy,100.75,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,達利・古比是目前資料庫中唯一對應「Guppy 多重移動平均」的核心專家。,Daryl Guppy is the only expert currently mapped to Guppy Multiple Moving Average in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
hull-ma,Hull 移動平均,Hull Moving Average,trend,1,no,alan-hull,艾倫・霍爾,Alan Hull,99.15,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,艾倫・霍爾是目前資料庫中唯一對應「Hull 移動平均」的核心專家。,Alan Hull is the only expert currently mapped to Hull Moving Average in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
ichimoku,一目均衡表,Ichimoku Kinko Hyo,trend,1,no,goichi-hosoda,細田悟一,Goichi Hosoda,102.3,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,細田悟一是目前資料庫中唯一對應「一目均衡表」的核心專家。,Goichi Hosoda is the only expert currently mapped to Ichimoku Kinko Hyo in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
kama,KAMA 考夫曼自適應均線,Kaufman Adaptive Moving Average,trend,1,no,perry-j-kaufman,佩里・考夫曼,Perry J. Kaufman,98.75,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,佩里・考夫曼是目前資料庫中唯一對應「KAMA 考夫曼自適應均線」的核心專家。,Perry J. Kaufman is the only expert currently mapped to Kaufman Adaptive Moving Average in this database.,評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
macd,MACD,Moving Average Convergence/Divergence,momentum,2,yes,gerald-appel,傑拉德・阿佩爾,Gerald Appel,121.4,亞歷克斯・斯皮羅格魯,Alex Spiroglou,傑拉德・阿佩爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為亞歷克斯・斯皮羅格魯。,"Gerald Appel wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Alex Spiroglou.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
market-profile,Market Profile,Market Profile,auction_market,2,yes,j-peter-steidlmayer,彼得・史戴梅爾,J. Peter Steidlmayer,115.4,詹姆斯・道爾頓,James F. Dalton,彼得・史戴梅爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為詹姆斯・道爾頓。,"J. Peter Steidlmayer wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: James F. Dalton.",評分依據：原創/共同創作權重、專家總分、材料數、來源數、高證據來源、類別專屬性；必要時對明確共同創作者採並列優勝。,"Basis: originality/co-creation weight, expert total score, material count, source count, high-evidence sources, and category specificity; clear co-creators may be judged as joint winners.",此為本地資料庫目前證據下的優先研究判斷，不等於投資建議或永久排名。,"This is a priority-for-study judgment under the current local evidence base, not investment advice or a permanent ranking."
