concept_slug,concept_zh,concept_en,family,family_zh,family_en,expert_count,winner_zh,winner_en,runner_up_zh,runner_up_en,judgment_zh,judgment_en,all_experts_zh,all_experts_en,top_materials_zh,top_materials_en,material_count,integrated_use_zh,integrated_use_en
candlestick,K 線 / 蠟燭圖,Candlestick Charting,charting,圖表分析,Charting,3,史蒂夫・尼森,Steve Nison,湯瑪斯・布考斯基、本間宗久,Thomas N. Bulkowski / Munehisa Homma,史蒂夫・尼森優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為湯瑪斯・布考斯基、本間宗久。,"Steve Nison wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Thomas N. Bulkowski / Munehisa Homma.",史蒂夫・尼森（西方推廣者）；湯瑪斯・布考斯基（型態統計）；本間宗久（歷史源流）,Steve Nison (Western popularizer); Thomas N. Bulkowski (pattern statistics); Munehisa Homma (historical origin),《日本蠟燭圖技術》 - 史蒂夫・尼森；原文題名：Sakata Rules - 本間宗久；《圖表型態百科全書》 - 湯瑪斯・布考斯基,Japanese Candlestick Charting Techniques - Steve Nison; Sakata Rules - Munehisa Homma; Encyclopedia of Chart Patterns - Thomas N. Bulkowski,3,K 線 / 蠟燭圖屬於圖表分析，優先研究史蒂夫・尼森，再用其他專家資料交叉驗證。,Candlestick Charting belongs to Charting; start with Steve Nison and use other experts for cross-checking.
cci,CCI 商品通道指標,Commodity Channel Index,momentum,動量指標,Momentum,1,唐納德・蘭伯特,Donald R. Lambert,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,唐納德・蘭伯特是目前資料庫中唯一對應「CCI 商品通道指標」的核心專家。,Donald R. Lambert is the only expert currently mapped to Commodity Channel Index in this database.,唐納德・蘭伯特（創始者）,Donald R. Lambert (creator),原文題名：Commodity Channel Index - 唐納德・蘭伯特,Commodity Channel Index - Donald R. Lambert,1,CCI 商品通道指標屬於動量指標，優先研究唐納德・蘭伯特，再用其他專家資料交叉驗證。,Commodity Channel Index belongs to Momentum; start with Donald R. Lambert and use other experts for cross-checking.
chaikin-money-flow,Chaikin 資金流,Chaikin Money Flow,volume,成交量與資金流,Volume and Money Flow,1,馬克・柴金,Marc Chaikin,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,馬克・柴金是目前資料庫中唯一對應「Chaikin 資金流」的核心專家。,Marc Chaikin is the only expert currently mapped to Chaikin Money Flow in this database.,馬克・柴金（創始者）,Marc Chaikin (creator),原文題名：Chaikin Money Flow - 馬克・柴金,Chaikin Money Flow - Marc Chaikin,1,Chaikin 資金流屬於成交量與資金流，優先研究馬克・柴金，再用其他專家資料交叉驗證。,Chaikin Money Flow belongs to Volume and Money Flow; start with Marc Chaikin and use other experts for cross-checking.
chart-patterns,圖表型態,Chart Patterns,charting,圖表分析,Charting,12,湯瑪斯・布考斯基,Thomas N. Bulkowski,茱莉・達爾奎斯特、羅伯特・愛德華茲,Julie R. Dahlquist / Robert D. Edwards,湯瑪斯・布考斯基優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為茱莉・達爾奎斯特、羅伯特・愛德華茲。,"Thomas N. Bulkowski wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Julie R. Dahlquist / Robert D. Edwards.",湯瑪斯・布考斯基（統計研究者）；茱莉・達爾奎斯特（教材作者）；羅伯特・愛德華茲（經典教材作者）；約翰・麥基（經典教材作者）；傑克・施瓦格（教材作者）；約翰・墨菲（教材作者）；理查・沙巴克（早期系統化作者）；安德魯・羅（計算型型態識別）；亞瑟・梅里爾（M/W 型態）；史蒂夫・尼森（K 線型態）；拉爾夫・阿坎波拉（教育者）；尼古拉斯・達瓦斯（箱型理論）,Thomas N. Bulkowski (statistical researcher); Julie R. Dahlquist (textbook author); Robert D. Edwards (classic textbook author); John Magee (classic textbook author); Jack D. Schwager (textbook author); John J. Murphy (textbook author); Richard W. Schabacker (early systematizing author); Andrew W. Lo (computational pattern recognition); Arthur A. Merrill (M/W patterns); Steve Nison (candlestick patterns); Ralph Acampora (educator); Nicolas Darvas (box theory),《技術分析與股市獲利》 - 理查・沙巴克；《股票趨勢技術分析》 - 羅伯特・愛德華茲；《股票趨勢技術分析》 - 約翰・麥基；《金融市場技術分析》 - 約翰・墨菲；《技術分析入門》 - 傑克・施瓦格；原文題名：Market Wizards - 傑克・施瓦格,Technical Analysis and Stock Market Profits - Richard W. Schabacker; Technical Analysis of Stock Trends - Robert D. Edwards; Technical Analysis of Stock Trends - John Magee; Technical Analysis of the Financial Markets - John J. Murphy; Getting Started in Technical Analysis - Jack D. Schwager; Market Wizards - Jack D. Schwager,16,圖表型態屬於圖表分析，優先研究湯瑪斯・布考斯基，再用其他專家資料交叉驗證。,Chart Patterns belongs to Charting; start with Thomas N. Bulkowski and use other experts for cross-checking.
cmo,Chande 動量震盪器,Chande Momentum Oscillator,momentum,動量指標,Momentum,1,圖沙・昌德,Tushar S. Chande,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,圖沙・昌德是目前資料庫中唯一對應「Chande 動量震盪器」的核心專家。,Tushar S. Chande is the only expert currently mapped to Chande Momentum Oscillator in this database.,圖沙・昌德（創始者）,Tushar S. Chande (creator),《新技術交易者》 - 圖沙・昌德,The New Technical Trader - Tushar S. Chande,1,Chande 動量震盪器屬於動量指標，優先研究圖沙・昌德，再用其他專家資料交叉驗證。,Chande Momentum Oscillator belongs to Momentum; start with Tushar S. Chande and use other experts for cross-checking.
connors-rsi,Connors RSI,ConnorsRSI,momentum,動量指標,Momentum,1,拉倫斯・康納斯,Laurence A. Connors,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,拉倫斯・康納斯是目前資料庫中唯一對應「Connors RSI」的核心專家。,Laurence A. Connors is the only expert currently mapped to ConnorsRSI in this database.,拉倫斯・康納斯（創始者）,Laurence A. Connors (creator),《街頭智慧交易策略》 - 拉倫斯・康納斯；《有效的短線交易策略》 - 拉倫斯・康納斯；原文題名：ConnorsRSI - 拉倫斯・康納斯,Street Smarts - Laurence A. Connors; Short Term Trading Strategies That Work - Laurence A. Connors; ConnorsRSI - Laurence A. Connors,3,Connors RSI屬於動量指標，優先研究拉倫斯・康納斯，再用其他專家資料交叉驗證。,ConnorsRSI belongs to Momentum; start with Laurence A. Connors and use other experts for cross-checking.
coppock-curve,Coppock 曲線,Coppock Curve,momentum,動量指標,Momentum,1,艾德溫・科波克,Edwin S. Coppock,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,艾德溫・科波克是目前資料庫中唯一對應「Coppock 曲線」的核心專家。,Edwin S. Coppock is the only expert currently mapped to Coppock Curve in this database.,艾德溫・科波克（創始者）,Edwin S. Coppock (creator),原文題名：Coppock Curve - 艾德溫・科波克,Coppock Curve - Edwin S. Coppock,1,Coppock 曲線屬於動量指標，優先研究艾德溫・科波克，再用其他專家資料交叉驗證。,Coppock Curve belongs to Momentum; start with Edwin S. Coppock and use other experts for cross-checking.
cup-with-handle,杯柄形態,Cup With Handle,charting,圖表分析,Charting,2,威廉・歐尼爾,William J. O'Neil,馬克・米勒維尼,Mark Minervini,威廉・歐尼爾優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為馬克・米勒維尼。,"William J. O'Neil wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Mark Minervini.",威廉・歐尼爾（推廣/定義者）；馬克・米勒維尼（成長股型態）,William J. O'Neil (promoter/definer); Mark Minervini (growth-stock pattern work),《如何在股票中賺錢》 - 威廉・歐尼爾；《像股市魔法師一樣交易》 - 馬克・米勒維尼；《像冠軍一樣思考與交易》 - 馬克・米勒維尼,How to Make Money in Stocks - William J. O'Neil; Trade Like a Stock Market Wizard - Mark Minervini; Think and Trade Like a Champion - Mark Minervini,3,杯柄形態屬於圖表分析，優先研究威廉・歐尼爾，再用其他專家資料交叉驗證。,Cup With Handle belongs to Charting; start with William J. O'Neil and use other experts for cross-checking.
cycle-analysis,週期分析,Cycle Analysis,cycle,週期分析,Cycle Analysis,6,約翰・艾勒斯,John F. Ehlers,威廉・江恩、拉爾夫・尼爾森・艾略特,W. D. Gann / Ralph Nelson Elliott,約翰・艾勒斯優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・江恩、拉爾夫・尼爾森・艾略特。,"John F. Ehlers wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: W. D. Gann / Ralph Nelson Elliott.",約翰・艾勒斯（DSP 週期分析）；威廉・江恩（週期分析）；拉爾夫・尼爾森・艾略特（市場循環）；唐納德・蘭伯特（商品週期）；亞瑟・梅里爾（Filtered Waves）；馬丁・普林格（景氣/市場循環）,John F. Ehlers (DSP cycle analysis); W. D. Gann (cycle analysis); Ralph Nelson Elliott (market cycles); Donald R. Lambert (commodity cycles); Arthur A. Merrill (Filtered Waves); Martin J. Pring (business/market cycles),《股市讀帶真相》 - 威廉・江恩；《華爾街四十五年》 - 威廉・江恩；《波浪原理》 - 拉爾夫・尼爾森・艾略特；《技術分析詳解》 - 馬丁・普林格；原文題名：Commodity Channel Index - 唐納德・蘭伯特；《交易者的火箭科學》 - 約翰・艾勒斯,Truth of the Stock Tape - W. D. Gann; 45 Years in Wall Street - W. D. Gann; The Wave Principle - Ralph Nelson Elliott; Technical Analysis Explained - Martin J. Pring; Commodity Channel Index - Donald R. Lambert; Rocket Science for Traders - John F. Ehlers,9,週期分析屬於週期分析，優先研究約翰・艾勒斯，再用其他專家資料交叉驗證。,Cycle Analysis belongs to Cycle Analysis; start with John F. Ehlers and use other experts for cross-checking.
demark-indicators,DeMark 指標,DeMARK Indicators,market_timing,市場時機,Market Timing,1,湯姆・迪馬克,Tom DeMark,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,湯姆・迪馬克是目前資料庫中唯一對應「DeMark 指標」的核心專家。,Tom DeMark is the only expert currently mapped to DeMARK Indicators in this database.,湯姆・迪馬克（創始者）,Tom DeMark (creator),《技術分析新科學》 - 湯姆・迪馬克；原文題名：DeMARK Indicators - 湯姆・迪馬克,The New Science of Technical Analysis - Tom DeMark; DeMARK Indicators - Tom DeMark,2,DeMark 指標屬於市場時機，優先研究湯姆・迪馬克，再用其他專家資料交叉驗證。,DeMARK Indicators belongs to Market Timing; start with Tom DeMark and use other experts for cross-checking.
donchian-channel,唐奇安通道,Donchian Channel,trend,趨勢分析,Trend Analysis,1,理查・唐奇安,Richard Donchian,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,理查・唐奇安是目前資料庫中唯一對應「唐奇安通道」的核心專家。,Richard Donchian is the only expert currently mapped to Donchian Channel in this database.,理查・唐奇安（創始者）,Richard Donchian (creator),原文題名：Commodity Trend Timing - 理查・唐奇安,Commodity Trend Timing - Richard Donchian,1,唐奇安通道屬於趨勢分析，優先研究理查・唐奇安，再用其他專家資料交叉驗證。,Donchian Channel belongs to Trend Analysis; start with Richard Donchian and use other experts for cross-checking.
dow-theory,道氏理論,Dow Theory,foundation,技術分析基礎理論,Foundations,7,查爾斯・道,Charles H. Dow,威廉・彼得・漢密爾頓、羅伯特・里亞,William Peter Hamilton / Robert Rhea,查爾斯・道優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為威廉・彼得・漢密爾頓、羅伯特・里亞。,"Charles H. Dow wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: William Peter Hamilton / Robert Rhea.",查爾斯・道（奠基者）；威廉・彼得・漢密爾頓（主要詮釋者）；羅伯特・里亞（系統化整理者）；查爾斯・柯克派翠克二世（Dow Award 研究）；保羅・德斯蒙德（Dow Award 得主）；理查・羅素（長期推廣者）；拉爾夫・阿坎波拉（市場技術史）,Charles H. Dow (founder); William Peter Hamilton (principal interpreter); Robert Rhea (systematizer); Charles D. Kirkpatrick II (Dow Award research); Paul Desmond (Dow Award winner); Richard Russell (long-term promoter); Ralph Acampora (technical market history),《華爾街日報》市場平均指數評論 - 查爾斯・道；《股票市場晴雨表》 - 威廉・彼得・漢密爾頓；《道氏理論》 - 羅伯特・里亞；《技術分析：金融市場技術分析師完整資源》 - 查爾斯・柯克派翠克二世；原文題名：Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years - 查爾斯・柯克派翠克二世；《第四次超級市場》 - 拉爾夫・阿坎波拉,Wall Street Journal editorials on market averages - Charles H. Dow; The Stock Market Barometer - William Peter Hamilton; The Dow Theory - Robert Rhea; Technical Analysis: The Complete Resource for Financial Market Technicians - Charles D. Kirkpatrick II; Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years - Charles D. Kirkpatrick II; The Fourth Mega-Market - Ralph Acampora,8,道氏理論屬於技術分析基礎理論，優先研究查爾斯・道，再用其他專家資料交叉驗證。,Dow Theory belongs to Foundations; start with Charles H. Dow and use other experts for cross-checking.
ehlers-filters,Ehlers 濾波器,Ehlers Filters,cycle,週期分析,Cycle Analysis,1,約翰・艾勒斯,John F. Ehlers,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,約翰・艾勒斯是目前資料庫中唯一對應「Ehlers 濾波器」的核心專家。,John F. Ehlers is the only expert currently mapped to Ehlers Filters in this database.,約翰・艾勒斯（濾波器）,John F. Ehlers (filters),《交易者的火箭科學》 - 約翰・艾勒斯；《股票與期貨控制論分析》 - 約翰・艾勒斯,Rocket Science for Traders - John F. Ehlers; Cybernetic Analysis for Stocks and Futures - John F. Ehlers,2,Ehlers 濾波器屬於週期分析，優先研究約翰・艾勒斯，再用其他專家資料交叉驗證。,Ehlers Filters belongs to Cycle Analysis; start with John F. Ehlers and use other experts for cross-checking.
elder-ray,Elder-Ray,Elder-Ray Index,momentum,動量指標,Momentum,1,亞歷山大・艾爾德,Alexander Elder,無直接補充專家；目前資料庫只收錄一位核心專家,No direct runner-up; current database maps one core expert only,亞歷山大・艾爾德是目前資料庫中唯一對應「Elder-Ray」的核心專家。,Alexander Elder is the only expert currently mapped to Elder-Ray Index in this database.,亞歷山大・艾爾德（創始者）,Alexander Elder (creator),《以交易為生》 - 亞歷山大・艾爾德,Trading for a Living - Alexander Elder,1,Elder-Ray屬於動量指標，優先研究亞歷山大・艾爾德，再用其他專家資料交叉驗證。,Elder-Ray Index belongs to Momentum; start with Alexander Elder and use other experts for cross-checking.
elliott-wave,艾略特波浪,Elliott Wave,wave,波浪理論,Wave Analysis,6,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,羅伯特・普萊切特、A・J・佛羅斯特,Robert Prechter / A. J. Frost,拉爾夫・尼爾森・艾略特優勝，因其在原創性、專屬性與資料覆蓋上最強；主要對照者為羅伯特・普萊切特、A・J・佛羅斯特。,"Ralph Nelson Elliott wins because of the strongest mix of originality, specificity, and evidence coverage; main comparison: Robert Prechter / A. J. Frost.",拉爾夫・尼爾森・艾略特（創始者）；羅伯特・普萊切特（推廣者/作者）；A・J・佛羅斯特（經典教材共同作者）；格倫・尼利（規則化作者）；羅伯特・邁納（波浪/時間價格）；卡洛琳・波羅登（波浪/時間）,Ralph Nelson Elliott (creator); Robert Prechter (promoter/author); A. J. Frost (classic textbook co-author); Glenn Neely (規則化作者); Robert C. Miner (wave/time-price work); Carolyn Boroden (wave and timing work),《波浪原理》 - 拉爾夫・尼爾森・艾略特；《艾略特波浪原理》 - 羅伯特・普萊切特；《艾略特波浪原理》 - A・J・佛羅斯特；《精通艾略特波浪》 - 格倫・尼利；《動態交易》 - 羅伯特・邁納；《費波納契交易》 - 卡洛琳・波羅登,The Wave Principle - Ralph Nelson Elliott; Elliott Wave Principle - Robert Prechter; Elliott Wave Principle - A. J. Frost; Mastering Elliott Wave - Glenn Neely; Dynamic Trading - Robert C. Miner; Fibonacci Trading - Carolyn Boroden,6,艾略特波浪屬於波浪理論，優先研究拉爾夫・尼爾森・艾略特，再用其他專家資料交叉驗證。,Elliott Wave belongs to Wave Analysis; start with Ralph Nelson Elliott and use other experts for cross-checking.
