expert_rank,expert_zh,expert_en,title,material_type,year,primary_concept,concept_slugs,authors,publisher,container_title,source_url,source_title,source_type,doi,isbn13,openlibrary_key,google_books_id,evidence_level,api_enriched,notes_zh
4,理查・威科夫,Richard D. Wyckoff,Studies in Tape Reading,book,1910,wyckoff-method,wyckoff-method;volume-analysis;tape-reading,Rollo Tape Aka Rollo Tape,,,https://openlibrary.org/works/OL17554455W,Studies in Tape Reading,book_catalog,,,/works/OL17554455W,,high,yes,威科夫方法以供需、量價、累積/派發分析股票，是現代價格行為與量價交易的重要基礎。
4,理查・威科夫,Richard D. Wyckoff,How I Trade and Invest in Stocks and Bonds,book,1924,wyckoff-method,wyckoff-method;volume-analysis;tape-reading,"Wyckoff, Richard Demille",,,https://openlibrary.org/works/OL124134W,How I trade and invest in stocks and bonds,book_catalog,,,/works/OL124134W,,high,yes,威科夫方法以供需、量價、累積/派發分析股票，是現代價格行為與量價交易的重要基礎。
4,理查・威科夫,Richard D. Wyckoff,https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,source,,wyckoff-method,wyckoff-method;volume-analysis;tape-reading,,,,https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,https://chartschool.stockcharts.com/table-of-contents/market-analysis/wyckoff-analysis-articles/the-wyckoff-method-a-tutorial,indicator_reference,,,,,medium,seed_source,威科夫方法以供需、量價、累積/派發分析股票，是現代價格行為與量價交易的重要基礎。
5,傑西・李佛摩,Jesse Livermore,How to Trade in Stocks,book,1940,tape-reading,tape-reading;price-action;trend-following,Jesse Livermore,,,https://openlibrary.org/works/OL7913587W,How to Trade In Stocks,book_catalog,,,/works/OL7913587W,,high,yes,以價格行為、關鍵價位與趨勢操作聞名，雖非學院派作者，但對後世交易方法影響巨大。
5,傑西・李佛摩,Jesse Livermore,https://en.wikipedia.org/wiki/Jesse_Livermore,source,,tape-reading,tape-reading;price-action;trend-following,,,,https://en.wikipedia.org/wiki/Jesse_Livermore,https://en.wikipedia.org/wiki/Jesse_Livermore,web_reference,,,,,medium,seed_source,以價格行為、關鍵價位與趨勢操作聞名，雖非學院派作者，但對後世交易方法影響巨大。
6,威廉・江恩,W. D. Gann,Truth of the Stock Tape,book,1923,gann,gann;cycle-analysis;support-resistance,William D. Gann,,,https://openlibrary.org/works/OL7423643W,Truth of the Stock Tape,book_catalog,,,/works/OL7423643W,,high,yes,江恩角度、時間循環、價格幾何在技術分析史上具代表性，適合歸於週期與時間價格分析資料。
6,威廉・江恩,W. D. Gann,45 Years in Wall Street,book,1941,gann,gann;cycle-analysis;support-resistance,William D. Gann,,,https://openlibrary.org/works/OL7423632W,45 years in Wall Street,book_catalog,,,/works/OL7423632W,,high,yes,江恩角度、時間循環、價格幾何在技術分析史上具代表性，適合歸於週期與時間價格分析資料。
6,威廉・江恩,W. D. Gann,https://en.wikipedia.org/wiki/William_Delbert_Gann,source,,gann,gann;cycle-analysis;support-resistance,,,,https://en.wikipedia.org/wiki/William_Delbert_Gann,https://en.wikipedia.org/wiki/William_Delbert_Gann,web_reference,,,,,medium,seed_source,江恩角度、時間循環、價格幾何在技術分析史上具代表性，適合歸於週期與時間價格分析資料。
7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,The Wave Principle,book,1938,elliott-wave,elliott-wave;cycle-analysis,Ralph Nelson Elliott,,,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,The Wave Principle,book_reference,,,,,medium,no,艾略特波浪是最知名的技術分析分支之一，常用於股票指數、外匯與商品的趨勢結構判讀。
7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,source,,elliott-wave,elliott-wave;cycle-analysis,,,,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,https://en.wikipedia.org/wiki/Ralph_Nelson_Elliott,web_reference,,,,,medium,seed_source,艾略特波浪是最知名的技術分析分支之一，常用於股票指數、外匯與商品的趨勢結構判讀。
7,拉爾夫・尼爾森・艾略特,Ralph Nelson Elliott,https://www.investopedia.com/terms/e/elliottwavetheory.asp,source,,elliott-wave,elliott-wave;cycle-analysis,,,,https://www.investopedia.com/terms/e/elliottwavetheory.asp,https://www.investopedia.com/terms/e/elliottwavetheory.asp,indicator_reference,,,,,medium,seed_source,艾略特波浪是最知名的技術分析分支之一，常用於股票指數、外匯與商品的趨勢結構判讀。
8,理查・沙巴克,Richard W. Schabacker,Technical Analysis and Stock Market Profits,book,1932,chart-patterns,chart-patterns;support-resistance,Richard W. Schabacker,,,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,Technical Analysis and Stock Market Profits,book_reference,,,,,medium,no,把圖表型態、趨勢、支撐阻力整理成完整技術分析體系，並影響 Edwards 與 Magee。
8,理查・沙巴克,Richard W. Schabacker,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,source,,chart-patterns,chart-patterns;support-resistance,,,,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,https://harriman-house.com/authors/richard-schabacker/technical-analysis-and-stock-market-profits/9780857199164,web_reference,,,,,medium,seed_source,把圖表型態、趨勢、支撐阻力整理成完整技術分析體系，並影響 Edwards 與 Magee。
8,理查・沙巴克,Richard W. Schabacker,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns,source,,chart-patterns,chart-patterns;support-resistance,,,,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns,https://chartschool.stockcharts.com/table-of-contents/chart-analysis/introduction-to-chart-patterns,indicator_reference,,,,,medium,seed_source,把圖表型態、趨勢、支撐阻力整理成完整技術分析體系，並影響 Edwards 與 Magee。
9,羅伯特・愛德華茲,Robert D. Edwards,Technical Analysis of Stock Trends,book,1948,chart-patterns,chart-patterns;support-resistance,Robert D. Edwards,,,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,Technical Analysis of Stock Trends,book_catalog,,,,,high,no,與 John Magee 合著的《Technical Analysis of Stock Trends》是圖表型態領域最常被引用的經典之一。
9,羅伯特・愛德華茲,Robert D. Edwards,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,source,,chart-patterns,chart-patterns;support-resistance,,,,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,book_catalog,,,,,medium,seed_source,與 John Magee 合著的《Technical Analysis of Stock Trends》是圖表型態領域最常被引用的經典之一。
9,羅伯特・愛德華茲,Robert D. Edwards,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,source,,chart-patterns,chart-patterns;support-resistance,,,,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,indicator_reference,,,,,medium,seed_source,與 John Magee 合著的《Technical Analysis of Stock Trends》是圖表型態領域最常被引用的經典之一。
10,約翰・麥基,John Magee,Technical Analysis of Stock Trends,book,1948,chart-patterns,chart-patterns;support-resistance,John Magee,,,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,Technical Analysis of Stock Trends,book_catalog,,,,,high,no,與 Edwards 共同建立現代圖表型態教材框架，對股票技術分析教育影響深。
10,約翰・麥基,John Magee,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,source,,chart-patterns,chart-patterns;support-resistance,,,,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,https://www.amazon.com/Technical-Analysis-Stock-Trends-Edwards/dp/113806941X,book_catalog,,,,,medium,seed_source,與 Edwards 共同建立現代圖表型態教材框架，對股票技術分析教育影響深。
10,約翰・麥基,John Magee,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,source,,chart-patterns,chart-patterns;support-resistance,,,,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,https://www.investopedia.com/articles/financial-theory/10/pioneers-technical-analysis.asp,indicator_reference,,,,,medium,seed_source,與 Edwards 共同建立現代圖表型態教材框架，對股票技術分析教育影響深。
11,約翰・墨菲,John J. Murphy,Technical Analysis of the Financial Markets,book,1999,moving-average,moving-average;chart-patterns;breadth,John J. Murphy,,,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,Technical Analysis of the Financial Markets,book_catalog,,,/works/OL1957750W,,high,yes,綜合型技術分析教材代表作者，涵蓋趨勢、型態、指標、跨市場分析與期貨/股票應用。
11,約翰・墨菲,John J. Murphy,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,source,,moving-average,moving-average;chart-patterns;breadth,,,,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,https://www.amazon.com/Technical-Analysis-Financial-Markets-Comprehensive/dp/0735200661,book_catalog,,,,,medium,seed_source,綜合型技術分析教材代表作者，涵蓋趨勢、型態、指標、跨市場分析與期貨/股票應用。
11,約翰・墨菲,John J. Murphy,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,source,,moving-average,moving-average;chart-patterns;breadth,,,,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,indicator_reference,,,,,medium,seed_source,綜合型技術分析教材代表作者，涵蓋趨勢、型態、指標、跨市場分析與期貨/股票應用。
12,馬丁・普林格,Martin J. Pring,Technical Analysis Explained,book,1980,momentum,momentum;cycle-analysis;trend-following,Martin J. Pring,,,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,Technical Analysis Explained,book_catalog,,,,,high,no,著作廣、教材地位高，特別適合整理動量、週期、趨勢與市場心理指標。
12,馬丁・普林格,Martin J. Pring,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,source,,momentum,momentum;cycle-analysis;trend-following,,,,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,https://www.amazon.com/Technical-Analysis-Explained-Successful-Investment/dp/1260466020,book_catalog,,,,,medium,seed_source,著作廣、教材地位高，特別適合整理動量、週期、趨勢與市場心理指標。
12,馬丁・普林格,Martin J. Pring,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,source,,momentum,momentum;cycle-analysis;trend-following,,,,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,indicator_reference,,,,,medium,seed_source,著作廣、教材地位高，特別適合整理動量、週期、趨勢與市場心理指標。
13,傑克・施瓦格,Jack D. Schwager,Getting Started in Technical Analysis,book,1999,chart-patterns,chart-patterns;systems-trading;price-action,Jack D. Schwager,,,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,Getting Started in Technical Analysis,book_catalog,,,,,high,no,技術分析入門書與 Market Wizards 訪談系列讓大量實戰交易方法被系統化保存。
13,傑克・施瓦格,Jack D. Schwager,Market Wizards,book,1989,chart-patterns,chart-patterns;systems-trading;price-action,Jack D. Schwager,,,https://openlibrary.org/works/OL15838199W,Market wizards,book_catalog,,,/works/OL15838199W,,high,yes,技術分析入門書與 Market Wizards 訪談系列讓大量實戰交易方法被系統化保存。
13,傑克・施瓦格,Jack D. Schwager,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,source,,chart-patterns,chart-patterns;systems-trading;price-action,,,,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,https://www.amazon.com/Getting-Started-Technical-Analysis-Schwager/dp/0471295426,book_catalog,,,,,medium,seed_source,技術分析入門書與 Market Wizards 訪談系列讓大量實戰交易方法被系統化保存。
13,傑克・施瓦格,Jack D. Schwager,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,source,,chart-patterns,chart-patterns;systems-trading;price-action,,,,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,https://www.investopedia.com/articles/personal-finance/090916/top-5-books-learn-technical-analysis.asp,indicator_reference,,,,,medium,seed_source,技術分析入門書與 Market Wizards 訪談系列讓大量實戰交易方法被系統化保存。
14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,Technical Analysis: The Complete Resource for Financial Market Technicians,book,2006,relative-strength,relative-strength;dow-theory;stock_selection,Charles D. Kirkpatrick II,,,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,Technical Analysis: The Complete Resource for Financial Market Technicians,award_or_professional,,,,,high,no,兼具 CMT 教材作者與 Charles H. Dow Award 研究紀錄，適合放入相對強弱與股票選股研究。
14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,Stock Selection: A Test of Relative Stock Values Reported Over 17 1/2 Years,paper,2001,relative-strength,relative-strength;dow-theory;stock_selection,Grace Wong Bucchianeri; Talya Miron-Shatz,Elsevier BV,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.1877206,Taking Stock of Housing Wealth: Reported Home Values,academic_paper,10.2139/ssrn.1877206,,,,high,yes,兼具 CMT 教材作者與 Charles H. Dow Award 研究紀錄，適合放入相對強弱與股票選股研究。
14,查爾斯・柯克派翠克二世,Charles D. Kirkpatrick II,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,source,,relative-strength,relative-strength;dow-theory;stock_selection,,,,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,award_or_professional,,,,,high,seed_source,兼具 CMT 教材作者與 Charles H. Dow Award 研究紀錄，適合放入相對強弱與股票選股研究。
15,茱莉・達爾奎斯特,Julie R. Dahlquist,Technical Analysis: The Complete Resource for Financial Market Technicians,book,2006,chart-patterns,chart-patterns;backtesting;evidence-based-ta,Julie R. Dahlquist,,,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,Technical Analysis: The Complete Resource for Financial Market Technicians,award_or_professional,,,,,high,no,CMT 教材合著者與 Dow Award 得主，適合記錄缺口、教材與技術分析研究方法。
15,茱莉・達爾奎斯特,Julie R. Dahlquist,Analyzing Gaps for Profitable Trading Strategies,paper,2011,chart-patterns,chart-patterns;backtesting;evidence-based-ta,B. Brian Lee; Byeonghee Choi; George Kanaan,Inderscience Publishers,Global Business and Economics Review,https://doi.org/10.1504/gber.2004.006224,Profitable trading strategies using EVA,academic_paper,10.1504/gber.2004.006224,,,,high,yes,CMT 教材合著者與 Dow Award 得主，適合記錄缺口、教材與技術分析研究方法。
15,茱莉・達爾奎斯特,Julie R. Dahlquist,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,source,,chart-patterns,chart-patterns;backtesting;evidence-based-ta,,,,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/,award_or_professional,,,,,high,seed_source,CMT 教材合著者與 Dow Award 得主，適合記錄缺口、教材與技術分析研究方法。
16,史蒂文・阿契利斯,Steven B. Achelis,Technical Analysis from A to Z,book,1995,moving-average,moving-average;momentum;volume-analysis,Steven B. Achelis,,,https://openlibrary.org/works/OL3180759W,Technical Analysis from A to Z,book_catalog,,,/works/OL3180759W,,high,yes,以指標百科型著作著稱，對建立技術指標資料庫很有參考價值。
16,史蒂文・阿契利斯,Steven B. Achelis,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,source,,moving-average,moving-average;momentum;volume-analysis,,,,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,web_reference,,,,,medium,seed_source,以指標百科型著作著稱，對建立技術指標資料庫很有參考價值。
17,羅伯特・科爾比,Robert W. Colby,The Encyclopedia of Technical Market Indicators,book,1988,moving-average,moving-average;momentum;evidence-based-ta,Robert W. Colby,,,https://www.mheducation.com/highered/mhp/product/encyclopedia-technical-market-indicators-second-edition.html,The Encyclopedia of Technical Market Indicators,book_reference,,,,,medium,no,《The Encyclopedia of Technical Market Indicators》彙整大量指標，是資料庫型研究的重要來源。
17,羅伯特・科爾比,Robert W. Colby,https://www.mheducation.com/highered/mhp/product/encyclopedia-technical-market-indicators-second-edition.html,source,,moving-average,moving-average;momentum;evidence-based-ta,,,,https://www.mheducation.com/highered/mhp/product/encyclopedia-technical-market-indicators-second-edition.html,https://www.mheducation.com/highered/mhp/product/encyclopedia-technical-market-indicators-second-edition.html,web_reference,,,,,medium,seed_source,《The Encyclopedia of Technical Market Indicators》彙整大量指標，是資料庫型研究的重要來源。
17,羅伯特・科爾比,Robert W. Colby,https://openlibrary.org/books/OL17060688M/The_encyclopedia_of_technical_market_indicators,source,,moving-average,moving-average;momentum;evidence-based-ta,,,,https://openlibrary.org/books/OL17060688M/The_encyclopedia_of_technical_market_indicators,https://openlibrary.org/books/OL17060688M/The_encyclopedia_of_technical_market_indicators,book_catalog,,,,,medium,seed_source,《The Encyclopedia of Technical Market Indicators》彙整大量指標，是資料庫型研究的重要來源。
17,羅伯特・科爾比,Robert W. Colby,https://books.google.com/books/about/The_Encyclopedia_Of_Technical_Market_Ind.html?id=f82LUFQVGOUC,source,,moving-average,moving-average;momentum;evidence-based-ta,,,,https://books.google.com/books/about/The_Encyclopedia_Of_Technical_Market_Ind.html?id=f82LUFQVGOUC,https://books.google.com/books/about/The_Encyclopedia_Of_Technical_Market_Ind.html?id=f82LUFQVGOUC,book_catalog,,,,,medium,seed_source,《The Encyclopedia of Technical Market Indicators》彙整大量指標，是資料庫型研究的重要來源。
18,佩里・考夫曼,Perry J. Kaufman,Trading Systems and Methods,book,1978,kama,kama;adaptive-moving-average;systems-trading,Perry J. Kaufman,,,https://openlibrary.org/works/OL25697417W,Trading Systems and Methods,book_catalog,,,/works/OL25697417W,,high,yes,在交易系統與自適應均線方面影響大，KAMA 是技術指標資料庫必收項。
18,佩里・考夫曼,Perry J. Kaufman,Smarter Trading,book,1995,kama,kama;adaptive-moving-average;systems-trading,Perry J. Kaufman,,,https://openlibrary.org/works/OL1904518W,Smarter trading,book_catalog,,,/works/OL1904518W,,high,yes,在交易系統與自適應均線方面影響大，KAMA 是技術指標資料庫必收項。
18,佩里・考夫曼,Perry J. Kaufman,https://trendspider.com/learning-center/what-is-the-kaufman-adaptive-moving-average/,source,,kama,kama;adaptive-moving-average;systems-trading,,,,https://trendspider.com/learning-center/what-is-the-kaufman-adaptive-moving-average/,https://trendspider.com/learning-center/what-is-the-kaufman-adaptive-moving-average/,web_reference,,,,,medium,seed_source,在交易系統與自適應均線方面影響大，KAMA 是技術指標資料庫必收項。
19,威爾斯・威爾德,J. Welles Wilder Jr.,New Concepts in Technical Trading Systems,book,1978,rsi,rsi;adx-dmi;atr;parabolic-sar,J. Welles Wilder,,,https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ,New concepts in technical trading systems,book_catalog,,,/works/OL5039607W,,high,yes,RSI、ADX/DMI、ATR、Parabolic SAR 等多個核心指標皆出自其 1978 年著作。
19,威爾斯・威爾德,J. Welles Wilder Jr.,https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ,source,,rsi,rsi;adx-dmi;atr;parabolic-sar,,,,https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ,https://books.google.com/books/about/New_Concepts_in_Technical_Trading_System.html?id=WesJAQAAMAAJ,book_catalog,,,,,medium,seed_source,RSI、ADX/DMI、ATR、Parabolic SAR 等多個核心指標皆出自其 1978 年著作。
19,威爾斯・威爾德,J. Welles Wilder Jr.,https://www.investopedia.com/terms/r/rsi.asp,source,,rsi,rsi;adx-dmi;atr;parabolic-sar,,,,https://www.investopedia.com/terms/r/rsi.asp,https://www.investopedia.com/terms/r/rsi.asp,indicator_reference,,,,,medium,seed_source,RSI、ADX/DMI、ATR、Parabolic SAR 等多個核心指標皆出自其 1978 年著作。
20,傑拉德・阿佩爾,Gerald Appel,Technical Analysis: Power Tools for Active Investors,book,2005,macd,macd;moving-average,Gerald Appel,,,https://cmtassociation.org/presenter/gerald-appel/,Technical Analysis: Power Tools for Active Investors,award_or_professional,,,,,high,no,MACD 創作者，MACD 是全球交易平台中最普及的動量/趨勢指標之一。
20,傑拉德・阿佩爾,Gerald Appel,https://cmtassociation.org/presenter/gerald-appel/,source,,macd,macd;moving-average,,,,https://cmtassociation.org/presenter/gerald-appel/,https://cmtassociation.org/presenter/gerald-appel/,award_or_professional,,,,,high,seed_source,MACD 創作者，MACD 是全球交易平台中最普及的動量/趨勢指標之一。
20,傑拉德・阿佩爾,Gerald Appel,https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html,source,,macd,macd;moving-average,,,,https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html,https://traders.com/documentation/feedbk_docs/2003/09/Abstracts_new/Interview/interview.html,web_reference,,,,,medium,seed_source,MACD 創作者，MACD 是全球交易平台中最普及的動量/趨勢指標之一。
20,傑拉德・阿佩爾,Gerald Appel,https://www.investopedia.com/trading/macd/,source,,macd,macd;moving-average,,,,https://www.investopedia.com/trading/macd/,https://www.investopedia.com/trading/macd/,indicator_reference,,,,,medium,seed_source,MACD 創作者，MACD 是全球交易平台中最普及的動量/趨勢指標之一。
21,約翰・布林格,John Bollinger,Bollinger on Bollinger Bands,book,2001,bollinger-bands,bollinger-bands;volatility,John Bollinger,,,https://openlibrary.org/works/OL282159W,Bollinger on Bollinger Bands,book_catalog,,,/works/OL282159W,,high,yes,布林通道創作者，對波動率自適應通道與相對高低位判讀具核心地位。
21,約翰・布林格,John Bollinger,https://www.bollingerbands.com/,source,,bollinger-bands,bollinger-bands;volatility,,,,https://www.bollingerbands.com/,https://www.bollingerbands.com/,web_reference,,,,,medium,seed_source,布林通道創作者，對波動率自適應通道與相對高低位判讀具核心地位。
21,約翰・布林格,John Bollinger,https://www.bollingercapital.com/team,source,,bollinger-bands,bollinger-bands;volatility,,,,https://www.bollingercapital.com/team,https://www.bollingercapital.com/team,web_reference,,,,,medium,seed_source,布林通道創作者，對波動率自適應通道與相對高低位判讀具核心地位。
22,喬治・藍恩,George C. Lane,Lane's Stochastics,indicator,,stochastic,stochastic;momentum,George C. Lane,,,https://www.investopedia.com/terms/s/stochasticoscillator.asp,Lane's Stochastics,indicator_reference,,,,,medium,no,隨機指標代表人物；Stochastic 與 RSI、MACD 同屬最普及動量指標。
22,喬治・藍恩,George C. Lane,https://www.investopedia.com/terms/s/stochasticoscillator.asp,source,,stochastic,stochastic;momentum,,,,https://www.investopedia.com/terms/s/stochasticoscillator.asp,https://www.investopedia.com/terms/s/stochasticoscillator.asp,indicator_reference,,,,,medium,seed_source,隨機指標代表人物；Stochastic 與 RSI、MACD 同屬最普及動量指標。
22,喬治・藍恩,George C. Lane,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full,source,,stochastic,stochastic;momentum,,,,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full,https://chartschool.stockcharts.com/table-of-contents/technical-indicators-and-overlays/technical-indicators/stochastic-oscillator-fast-slow-and-full,indicator_reference,,,,,medium,seed_source,隨機指標代表人物；Stochastic 與 RSI、MACD 同屬最普及動量指標。
