concept_slug,concept_zh,concept_en,concept_family,expert_count_for_concept,comparison_rank,verdict_zh,verdict_en,expert_id,expert_rank_global,name_zh,name_en,relation_zh,relation_en,category,category_zh,category_en,comparison_score,expert_total_score,material_count,source_count,high_evidence_count,book_count,paper_article_count,strengths_zh,strengths_en,limitations_zh,limitations_en,difference_zh,difference_en,representative_materials_zh,representative_materials_en,evidence_profile_zh,evidence_profile_en
backtesting,回測與系統驗證,Backtesting,research,9,4,重要補充,Important complement,andrew-w-lo,99,安德魯・羅,Andrew W. Lo,統計推論,statistical inference,academic,學術研究者,Academic researcher,72.2,22,4,3,1,1,1,有代表性書籍或教材可追溯；有論文或研究文章支撐；高證據等級來源較多,supported by traceable books or textbook material; supported by papers or research articles; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,安德魯・羅的角色是「統計推論」，重點在實證檢驗、規則驗證與資料探勘風險控制；圖表型態、價格結構與支撐阻力。,"Andrew W. Lo is classified here as statistical inference; the focus is empirical testing, rule validation, and data-mining control; chart patterns, price structure, and support/resistance.",《技術分析基礎》（2000）；《技術分析的演進》（2010）；參考來源：https://ideas.repec.org/p/nbr/nberwo/7613.html；參考來源：https://papers.ssrn.com/sol3/papers.cfm?abstract_id=228099,Foundations of Technical Analysis (2000); The Evolution of Technical Analysis (2010); Reference source: https://ideas.repec.org/p/nbr/nberwo/7613.html; Reference source: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=228099,4 筆研究材料；3 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 1 筆。,4 research materials; 3 distinct sources; 1 high-evidence records; 1 book records; 1 paper/article records.
backtesting,回測與系統驗證,Backtesting,research,9,5,重要補充,Important complement,arthur-a-merrill,89,亞瑟・梅里爾,Arthur A. Merrill,型態統計,pattern statistics,author_researcher,著作與研究兼具,Author-researcher,68.7,18,5,3,2,2,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,亞瑟・梅里爾的角色是「型態統計」，重點在圖表型態、價格結構與支撐阻力；週期、時間窗口與市場節奏判讀；實證檢驗、規則驗證與資料探勘風險控制。,"Arthur A. Merrill is classified here as pattern statistics; the focus is chart patterns, price structure, and support/resistance; cycles, timing windows, and market rhythm; empirical testing, rule validation, and data-mining control.",《華爾街價格行為》（1966）；《過濾波浪：基本理論》（1977）；參考來源：https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ；參考來源：https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.,Behavior of Prices on Wall Street (1966); Filtered Waves: Basic Theory (1977); Reference source: https://books.google.com/books/about/Behavior_of_Prices_on_Wall_Street.html?id=wEsUAQAAMAAJ; Reference source: https://openlibrary.org/books/OL5991950M/Behavior_of_prices_on_Wall_Street.,5 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,5 research materials; 3 distinct sources; 2 high-evidence records; 2 book records; 0 paper/article records.
backtesting,回測與系統驗證,Backtesting,research,9,6,參考角色,Reference role,howard-bandy,60,霍華德・班迪,Howard Bandy,策略驗證,strategy validation,system_developer,交易系統開發者,Trading-system developer,64.2,18,3,2,1,2,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,霍華德・班迪的角色是「策略驗證」，重點在系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制。,"Howard Bandy is classified here as strategy validation; the focus is systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control.",《量化交易系統》（2007）；《交易系統績效建模》（2011）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,Quantitative Trading Systems (2007); Modeling Trading System Performance (2011); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 2 book records; 0 paper/article records.
backtesting,回測與系統驗證,Backtesting,research,9,7,參考角色,Reference role,murray-a-ruggiero-jr,58,穆雷・魯傑羅,Murray A. Ruggiero Jr.,策略測試,strategy testing,system_developer,交易系統開發者,Trading-system developer,62.6,18,2,2,1,1,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,穆雷・魯傑羅的角色是「策略測試」，重點在系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制。,"Murray A. Ruggiero Jr. is classified here as strategy testing; the focus is systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control.",《控制論交易策略》（1997）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,Cybernetic Trading Strategies (1997); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
backtesting,回測與系統驗證,Backtesting,research,9,8,參考角色,Reference role,robert-pardo,59,羅伯特・帕多,Robert Pardo,系統測試,system testing,system_developer,交易系統開發者,Trading-system developer,62.6,18,2,2,1,1,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,羅伯特・帕多的角色是「系統測試」，重點在實證檢驗、規則驗證與資料探勘風險控制；系統交易、規則設計與回測流程。,"Robert Pardo is classified here as system testing; the focus is empirical testing, rule validation, and data-mining control; systematic trading, rule design, and backtesting.",《交易系統設計、測試與最佳化》（1992）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,"Design, Testing, and Optimization of Trading Systems (1992); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542",2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
backtesting,回測與系統驗證,Backtesting,research,9,9,參考角色,Reference role,thomas-stridsman,61,湯瑪斯・史翠茲曼,Thomas Stridsman,策略測試,strategy testing,system_developer,交易系統開發者,Trading-system developer,61.55,17,2,2,1,1,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,湯瑪斯・史翠茲曼的角色是「策略測試」，重點在系統交易、規則設計與回測流程；實證檢驗、規則驗證與資料探勘風險控制；趨勢辨識、均線、通道與趨勢跟隨。,"Thomas Stridsman is classified here as strategy testing; the focus is systematic trading, rule design, and backtesting; empirical testing, rule validation, and data-mining control; trend identification, moving averages, channels, and trend following.",《有效的交易系統》（2000）；參考來源：https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,Trading Systems That Work (2000); Reference source: https://guides.newman.baruch.cuny.edu/c.php?g=188442&p=1243542,2 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,2 research materials; 2 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
bollinger-bands,布林通道,Bollinger Bands,volatility,2,1,優勝,Winner,john-bollinger,21,約翰・布林格,John Bollinger,創始者,creator,indicator_creator,技術指標創作者,Indicator creator,118.7,24,3,3,1,1,0,最接近原始定義，適合作為該指標/方法的基準版本；有代表性書籍或教材可追溯；高證據等級來源較多；在原創性、資料覆蓋與專屬性綜合評分最高,"closest to the original definition and best used as the benchmark version; supported by traceable books or textbook material; has multiple high-evidence sources; highest combined score for originality, evidence coverage, and indicator specificity",原始版本仍需結合後續實證與現代市場條件；優勝判斷是以本資料庫目前來源與評分規則為基準,the original version should still be checked against later evidence and modern markets; winner judgment is based on the current database sources and scoring rules,約翰・布林格的角色是「創始者」，重點在波動率、通道寬度與風險環境。,"John Bollinger is classified here as creator; the focus is volatility, channel width, and risk regimes.",《布林格談布林通道》（2001）；參考來源：https://www.bollingerbands.com/；參考來源：https://www.bollingercapital.com/team,Bollinger on Bollinger Bands (2001); Reference source: https://www.bollingerbands.com/; Reference source: https://www.bollingercapital.com/team,3 筆研究材料；3 個不同來源；1 筆高證據等級；書籍 1 筆；論文/文章 0 筆。,3 research materials; 3 distinct sources; 1 high-evidence records; 1 book records; 0 paper/article records.
bollinger-bands,布林通道,Bollinger Bands,volatility,2,2,參考角色,Reference role,jeremy-du-plessis,79,傑瑞米・杜普萊西斯,Jeremy du Plessis,P&F 結合指標,P&F-integrated indicator work,charting_specialist,圖表方法專家,Charting specialist,65.3,20,3,2,1,2,0,有代表性書籍或教材可追溯；高證據等級來源較多,supported by traceable books or textbook material; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,傑瑞米・杜普萊西斯的角色是「P&F 結合指標」，重點在圖表型態、價格結構與支撐阻力；波動率、通道寬度與風險環境；動量、超買超賣、背離與趨勢強弱。,"Jeremy du Plessis is classified here as P&F-integrated indicator work; the focus is chart patterns, price structure, and support/resistance; volatility, channel width, and risk regimes; momentum, overbought/oversold conditions, divergence, and trend strength.",《點數圖權威指南》（2005）；《二十一世紀點數圖》（2015）；參考來源：https://harriman-house.com/authors/jeremy-du-plessis/21st-century-point-and-figure/9780857194428,The Definitive Guide to Point and Figure (2005); 21st Century Point and Figure (2015); Reference source: https://harriman-house.com/authors/jeremy-du-plessis/21st-century-point-and-figure/9780857194428,3 筆研究材料；2 個不同來源；1 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,3 research materials; 2 distinct sources; 1 high-evidence records; 2 book records; 0 paper/article records.
breadth,市場寬度,Market Breadth,breadth,14,1,優勝,Winner,ned-davis,92,內德・戴維斯,Ned Davis,市場指標,market indicators,researcher,技術研究者,Technical researcher,82.0,20,6,4,0,2,0,有代表性書籍或教材可追溯；在原創性、資料覆蓋與專屬性綜合評分最高,"supported by traceable books or textbook material; highest combined score for originality, evidence coverage, and indicator specificity",適合搭配優勝者資料交叉驗證；優勝判斷是以本資料庫目前來源與評分規則為基準,best used for cross-checking against the winning authority; winner judgment is based on the current database sources and scoring rules,內德・戴維斯的角色是「市場指標」，重點在市場寬度、內部強弱與指數健康度判讀；市場情緒、逆向指標與群眾心理；實證檢驗、規則驗證與資料探勘風險控制。,"Ned Davis is classified here as market indicators; the focus is market breadth, internal strength, and index health; sentiment, contrarian indicators, and crowd psychology; empirical testing, rule validation, and data-mining control.",《做對判斷或賺到錢》（1991）；《研究驅動型投資者》（2000）；參考來源：https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ；參考來源：https://info.ndr.com/ndr-signals,Being Right or Making Money (1991); The Research Driven Investor (2000); Reference source: https://books.google.com/books/about/Being_Right_or_Making_Money.html?id=wLhYBQAAQBAJ; Reference source: https://info.ndr.com/ndr-signals,6 筆研究材料；4 個不同來源；0 筆高證據等級；書籍 2 筆；論文/文章 0 筆。,6 research materials; 4 distinct sources; 0 high-evidence records; 2 book records; 0 paper/article records.
breadth,市場寬度,Market Breadth,breadth,14,2,強力候選,Strong candidate,larry-williams,27,拉瑞・威廉斯,Larry Williams,Dow Award 研究,Dow Award research,indicator_creator,技術指標創作者,Indicator creator,85.4,24,4,3,2,1,1,有代表性書籍或教材可追溯；有論文或研究文章支撐；高證據等級來源較多,supported by traceable books or textbook material; supported by papers or research articles; has multiple high-evidence sources,適合搭配優勝者資料交叉驗證,best used for cross-checking against the winning authority,拉瑞・威廉斯的角色是「Dow Award 研究」，重點在動量、超買超賣、背離與趨勢強弱；市場寬度、內部強弱與指數健康度判讀。,"Larry Williams is classified here as Dow Award research; the focus is momentum, overbought/oversold conditions, divergence, and trend strength; market breadth, internal strength, and index health.",《我去年如何交易商品賺進一百萬美元》（1979）；原文題名：The Ripple Effect of Daily New Lows（2024）；參考來源：https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/；參考來源：https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r,How I Made One Million Dollars Last Year Trading Commodities (1979); The Ripple Effect of Daily New Lows (2024); Reference source: https://cmtassociation.org/association/award-recognizing/charles-h-dow-award/; Reference source: https://www.fidelity.com/learning-center/trading-investing/technical-analysis/technical-indicator-guide/williams-r,4 筆研究材料；3 個不同來源；2 筆高證據等級；書籍 1 筆；論文/文章 1 筆。,4 research materials; 3 distinct sources; 2 high-evidence records; 1 book records; 1 paper/article records.
