score,grade,type,h1,route,notes
"94","A","技術指標","相關係數","#/indicators/correlation","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","漲跌家數線","#/indicators/advance-decline-line","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","新高新低數","#/indicators/new-high-new-low","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","看漲百分比指數","#/indicators/bullish-percent-index","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","科波克曲線","#/indicators/coppock-curve","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","Zig Zag 指標","#/indicators/zig-zag","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","平均 K 線","#/indicators/heikin-ashi","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","磚形圖","#/indicators/renko","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","成交量分佈","#/indicators/volume-profile","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","KDJ 指標","#/indicators/kdj","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","DeMarker 指標","#/indicators/demarker","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","質量指數","#/indicators/mass-index","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","潰瘍指數","#/indicators/ulcer-index","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","百分比價格震盪器","#/indicators/ppo","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","確知指標","#/indicators/kst","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","去趨勢價格震盪器","#/indicators/dpo","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","錢德動量震盪器","#/indicators/chande-momentum-oscillator","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","相對活力指數","#/indicators/relative-vigor-index","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","費雪轉換","#/indicators/fisher-transform","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","漩渦指標","#/indicators/vortex-indicator","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","線性回歸斜率","#/indicators/linear-regression-slope","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","移動平均包絡線","#/indicators/moving-average-envelope","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","布林帶寬度","#/indicators/bollinger-bandwidth","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","布林百分比","#/indicators/percent-b","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","歷史波動率","#/indicators/historical-volatility","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","標準化平均真實波幅","#/indicators/natr","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","價量趨勢指標","#/indicators/pvt","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","負成交量指標","#/indicators/nvi","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","正成交量指標","#/indicators/pvi","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","蔡金震盪器","#/indicators/chaikin-oscillator","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","成交量震盪器","#/indicators/volume-oscillator","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","阿姆斯指數","#/indicators/trin","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","麥克連震盪器","#/indicators/mcclellan-oscillator","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"94","A","技術指標","認沽認購比率","#/indicators/put-call-ratio","教學骨架完整；資料庫級滿分仍需逐條來源、原始作者/版本、參數適用市場與可驗證引用"
"92","A","策略詳情","Connors RSI(2) 均值回歸策略","#/strategy-cases/connors-rsi2","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","Triple RSI 高勝率回調策略","#/strategy-cases/triple-rsi","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","Turnaround Tuesday 星期二反彈策略","#/strategy-cases/turnaround-tuesday","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","IBS Internal Bar Strength 策略","#/strategy-cases/ibs","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","MACD Histogram 高精度動能策略","#/strategy-cases/macd-histogram","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","Williams %R + 濾網策略","#/strategy-cases/williams-r","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","ADX / DMI 趨勢強度策略","#/strategy-cases/adx-dmi","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","3 Down Days 三連跌反彈策略","#/strategy-cases/three-down-days","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","Opening Range Breakout 0DTE 策略","#/strategy-cases/orb-options","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","每月第一個交易日季節性策略","#/strategy-cases/first-trading-day","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
"92","A","策略詳情","TLT 債券恐慌回調策略","#/strategy-cases/tlt-panic","文字量偏少；策略資料豐富；仍需補充樣本期、交易成本、滑價、樣本外/前向測試欄位"
