score,grade,type,h1,route,textLength
"100","A+","技術指標","DeMarker 指標","#/indicators/demarker","3915"
"100","A+","技術指標","質量指數","#/indicators/mass-index","3815"
"100","A+","技術指標","潰瘍指數","#/indicators/ulcer-index","3824"
"100","A+","技術指標","百分比價格震盪器","#/indicators/ppo","3992"
"100","A+","技術指標","確知指標","#/indicators/kst","3951"
"100","A+","技術指標","去趨勢價格震盪器","#/indicators/dpo","3945"
"100","A+","技術指標","錢德動量震盪器","#/indicators/chande-momentum-oscillator","3945"
"100","A+","技術指標","相對活力指數","#/indicators/relative-vigor-index","3938"
"100","A+","技術指標","費雪轉換","#/indicators/fisher-transform","4006"
"100","A+","技術指標","漩渦指標","#/indicators/vortex-indicator","3880"
"100","A+","技術指標","線性回歸斜率","#/indicators/linear-regression-slope","3908"
"100","A+","技術指標","移動平均包絡線","#/indicators/moving-average-envelope","4141"
"100","A+","技術指標","布林帶寬度","#/indicators/bollinger-bandwidth","3859"
"100","A+","技術指標","布林百分比","#/indicators/percent-b","3859"
"100","A+","技術指標","歷史波動率","#/indicators/historical-volatility","3884"
"100","A+","技術指標","標準化平均真實波幅","#/indicators/natr","3921"
"100","A+","技術指標","價量趨勢指標","#/indicators/pvt","3927"
"100","A+","技術指標","負成交量指標","#/indicators/nvi","3939"
"100","A+","技術指標","正成交量指標","#/indicators/pvi","3936"
"100","A+","技術指標","蔡金震盪器","#/indicators/chaikin-oscillator","4123"
"100","A+","技術指標","成交量震盪器","#/indicators/volume-oscillator","3930"
"100","A+","技術指標","阿姆斯指數","#/indicators/trin","3785"
"100","A+","技術指標","麥克連震盪器","#/indicators/mcclellan-oscillator","3920"
"100","A+","技術指標","認沽認購比率","#/indicators/put-call-ratio","3930"
"100","A+","策略詳情","Connors RSI(2) 均值回歸策略","#/strategy-cases/connors-rsi2","2993"
"100","A+","策略詳情","Triple RSI 高勝率回調策略","#/strategy-cases/triple-rsi","2773"
"100","A+","策略詳情","Turnaround Tuesday 星期二反彈策略","#/strategy-cases/turnaround-tuesday","2683"
"100","A+","策略詳情","IBS Internal Bar Strength 策略","#/strategy-cases/ibs","2821"
"100","A+","策略詳情","MACD Histogram 高精度動能策略","#/strategy-cases/macd-histogram","2852"
"100","A+","策略詳情","Williams %R + 濾網策略","#/strategy-cases/williams-r","2577"
"100","A+","策略詳情","ADX / DMI 趨勢強度策略","#/strategy-cases/adx-dmi","2708"
"100","A+","策略詳情","3 Down Days 三連跌反彈策略","#/strategy-cases/three-down-days","2406"
"100","A+","策略詳情","Opening Range Breakout 0DTE 策略","#/strategy-cases/orb-options","2989"
"100","A+","策略詳情","每月第一個交易日季節性策略","#/strategy-cases/first-trading-day","2407"
"100","A+","策略詳情","TLT 債券恐慌回調策略","#/strategy-cases/tlt-panic","2573"
